wavenumber,PE 10ppm-1,PE 10ppm-2,PE 10ppm-3,PE 50ppm-1,PE 50ppm-2,PE 50ppm-3,PE 100ppm-1,PE 100ppm-2,PE 100ppm-3,PE 200ppm-1,PE 200ppm-2,PE 200ppm-3
376.82,700.01,488.55,637.17,119.37,131.74,121.51,173.88,178.9,210.35,938.84,950.15,708.07
378.98,585.19,529.22,605.26,108.48,124.74,114.48,173.57,164.57,189.88,748.72,768.44,674.8
381.15,566.27,504.11,557.9,116.13,103.27,110.65,170.15,139.45,175.29,678.82,636.22,650.61
383.32,499.32,446.58,481.81,93.19,60.21,91.57,129.83,109.11,146.48,679.33,578.37,573.64
385.48,496,428.31,471.32,85,58.24,89.56,123.27,96.21,140.09,638.59,579.19,577.89
387.64,439.98,448.29,451.1,75.23,93.01,86.31,143.49,108.74,138.81,597.58,611.35,543.34
389.8,468.01,423.29,483.24,98.32,135.3,99.58,187.59,121.15,145.07,615.75,674.94,563.1
391.96,449.99,453.53,465.98,121.82,144.01,118.59,187.79,158,169.77,685.96,709.53,516.05
394.12,457.03,456.78,454.74,131.85,125.24,153.14,199.87,181.4,173.02,769,716.2,557.3
396.28,413.33,450.93,392.42,136.3,111.89,158.76,189.72,209.23,182.03,754.4,612.51,593.39
398.44,376.57,385.98,358.33,111.5,119.95,156.8,174.33,203.84,186.8,651.16,589.44,642.64
400.6,305.52,311.02,330.59,88.89,81.5,111.36,129.16,185.32,167.46,517.71,555.44,620.17
402.75,279.72,279.95,329.09,80.03,60.5,104.33,151.75,131.9,143.21,421.26,558.38,554.52
404.91,287.17,237.76,295.14,77.59,49.58,74.06,159.11,130.59,117.73,439.48,441.59,495.69
407.06,262.54,202.78,248.08,75.57,72.43,69.53,160.57,100.38,107.69,397.02,354.05,424.32
409.21,233.59,167.45,188.02,84.4,54.78,61.86,114.24,99.38,103.18,344.32,263.88,347.53
411.36,179.44,137.21,160.73,87.54,37.77,48.83,78.9,65.03,84.67,233.8,213.51,295.09
413.51,165.19,112.5,164.31,105.77,49.84,44.54,66.32,79.12,101.25,219.25,267.37,273.77
415.66,134.72,61.54,142.99,83.3,85.87,43.9,63.73,97.2,111.48,258.88,275.35,280.78
417.81,131.03,58.66,126.75,70.8,107.54,68.22,92.47,104.6,110.04,286,326.77,255.44
419.96,130.12,53.84,81.94,60.61,97.85,97.51,83.18,101.66,102.25,272.28,246.29,214.1
422.11,138.86,93.32,86.76,55.61,84.02,87.66,73.78,85.93,75.66,205.94,214.13,148.29
424.25,92.49,97.31,54.77,80.03,82.27,70.56,53.81,75.96,83.51,146.18,128.83,97.23
426.4,51.87,104.03,91.19,56.42,68.82,56.1,58.82,84.98,58.67,100.88,97.6,56.8
428.54,14.83,91.36,59.38,51.01,67.23,70.83,72.04,80.54,73.05,98.94,108,68.21
430.68,16.84,68.96,75.38,12.57,69.17,71.42,77.14,76.98,55.63,145.66,134.35,66.14
432.82,8.04,44.39,32.54,15.77,78.85,59.43,77.67,54.52,64.64,143.94,90.39,91.46
434.97,8.04,40.2,39.95,28.6,84.5,44.41,66.18,72.04,49.64,132.32,38.65,69.33
