wavenumber,PMMA 10ppm-1,PMMA 10ppm-2,PMMA 10ppm-3,PMMA 50ppm-1,PMMA 50ppm-2,PMMA 50ppm-3,PMMA 100ppm-1,PMMA 100ppm-2,PMMA 100ppm-3,PMMA 200ppm-1,PMMA 200ppm-2,PMMA 200ppm-3
376.82,2802.11,2633.46,2221.17,1954.35,2069.11,1615.67,2030.59,1987.39,1823.05,3725.25,3517.38,3369.37
378.98,2789.99,2636.18,2262.64,1807.7,1995.88,1559.23,1865.29,1842.5,1723.31,3519.55,3379.87,3239.23
381.15,2792.6,2641.12,2322.48,1685.06,1926.65,1506.6,1722.11,1734.34,1574.92,3353.99,3240.41,3078.02
383.32,2816.24,2697.49,2410.49,1597.05,1797.01,1400.63,1610.03,1656.87,1490.17,3203.73,3108.47,2905.79
385.48,2864.02,2725.74,2529.78,1506.41,1693.73,1323.41,1532.16,1561.86,1383.81,3082.87,3002.47,2761.98
387.64,2970.93,2823.85,2650.01,1470.48,1581.78,1247.26,1472.47,1451.95,1368.49,2992.04,2933.72,2682.88
389.8,2994.61,2887.82,2703.52,1424.55,1541.15,1233.16,1388.93,1387.78,1256.19,2882.89,2852.87,2580.49
391.96,3019.51,2898.42,2709.39,1361.73,1475.93,1174.2,1331.64,1293.78,1208.01,2736.18,2739,2529.9
394.12,2938.49,2868.85,2693.85,1293.87,1454.98,1124.93,1279.47,1235.49,1144.8,2621.76,2610.64,2422.96
396.28,2847.45,2802.34,2699.13,1226.85,1396.51,1055.88,1206.95,1156.44,1102.79,2513.85,2432.01,2332.23
398.44,2750.81,2781.98,2661.98,1184.1,1328.61,999.47,1124.84,1083.39,1029.72,2409.52,2331.52,2194.12
400.6,2669,2707.88,2625.52,1082.69,1191.37,928.48,1001.57,1013.11,894.68,2207.54,2130.93,2050.39
402.75,2631.13,2643.48,2532.18,957.41,1068.88,854.99,906.88,891.67,824.78,2041,2003.33,1896.47
404.91,2550.52,2492.77,2449.97,804.21,955.8,794.99,790.44,772.4,733.98,1878.53,1848.36,1738.67
407.06,2394.49,2355.07,2272.86,680.09,833.1,651.12,680.88,638.28,636.29,1704.45,1744.68,1587.98
