wavenumber,PS 0.1ppm-1,PS 0.1ppm-2,PS 0.1ppm-3,PS 0.5ppm-1,PS 0.5ppm-2,PS 0.5ppm-3,PS 1.0ppm-1,PS 1.0ppm-2,PS 1.0ppm-3,PS 5ppm-1,PS 5ppm-2,PS 5ppm-3,PS 10ppm-1,PS 10ppm-2,PS 10ppm-3,PS 50ppm-1,PS 50ppm-2,PS 50ppm-3,PS 100ppm-1,PS 100ppm-2,PS 100ppm-3,PS 200ppm-1,PS 200ppm-2,PS 200ppm-3
376.82,0,6.81,0,0,9.9,63.89,9.79,0,18.55,17.61,1.6,0,0,0,0,0,0,0,0,0,0,25.16,0,17.47
378.99,0,6.81,0,0,9.9,63.89,7.68,0,18.55,17.61,1.6,6.51,0,0,0,0,0,0,0,0,0,25.16,0,17.47
381.15,0,0,4.95,0,0,13.27,17.88,0,4.9,7.64,0,6.51,0,0,0,0,0,0,0,0,0,0,0,0
383.32,0,0,4.95,6.08,0,0,10.2,0,4.9,0,0,6.51,0,0,0,0,0,0,0,0,0,0,0,0
385.48,5.55,0,4.95,6.08,0,0,10.2,0,4.9,5.93,1.83,13.23,0,0,0,0,0,0,0,0,0,0,0,2.84
387.64,5.55,6.77,0,6.08,0,0,2.39,5.1,5.49,5.93,1.83,13.23,0,0.51,0,0,0,0,0,0,0,7.15,14.81,27.33
389.8,5.55,6.77,0,0,0,0,2.39,8.2,5.49,19.24,7.16,20.95,26.67,49.31,15.35,23.55,0,0,0,0,23.39,39.41,50.84,83.42
391.96,0,6.77,0,0,0,0,2.39,8.2,5.49,13.31,14.6,7.72,64.07,64.17,31.44,23.55,8.95,0,27.9,0,26.95,90.17,73.85,107.33
394.12,0,0,0,0,0,0,6.35,12.05,14.54,13.49,43.57,17.75,129.11,138.14,75.16,49.04,44.34,37,74.1,35.38,44.02,162.56,131.62,170.21
396.28,0,0,0,0,0,0,6.35,8.95,25.34,1.29,39.2,21.04,164.13,136.13,110.18,53.83,63.37,49.98,98.15,70.36,59.09,218.82,156.93,199.28
398.44,0,0,0,0,0,0,28.04,15.15,42.05,1.29,41.48,27.31,192.16,177.14,173.54,56.24,72.66,76.16,105.68,126.82,59.91,230.41,190.89,267.33
400.6,0,0,0,0,0,0,21.68,11.9,27.51,1.11,12.51,18.68,195.54,162.49,180.59,32.33,41.84,39.16,59.48,91.45,42.84,209.75,186.94,209.15
402.75,0,0,0,0,0,0,28.31,16.98,29.55,6.65,11.86,16.69,187.84,152.43,177.89,24.86,33.79,26.18,41.34,56.47,4.39,153.76,172.99,136.95
404.91,0,0,0,0,0,0,22.32,24.88,26.01,6.65,5.2,11.36,152.49,96.56,161.55,60.83,32.52,24.88,5.9,0,0,155.11,156.7,84.08
407.06,0,0,0,0,0,0,28.74,32.64,34.84,6.65,6.31,9.97,108.18,76.22,139.91,59.24,27.97,24.88,5.9,0,0,102.56,128.51,86.65
409.21,0,0,0,0,0,0,22.11,27.57,22,0,6.01,0.94,61.56,85.25,123.96,38.37,18.05,24.88,0,0,0,77.03,81.12,73.68
411.36,0,0,0,0,0,0,6.42,13.46,8.82,0,1.11,0,72.2,132.69,114.61,0,1.08,0,0,0,0,23.51,40.46,48.6
413.51,0,0,0,0,0,0,18.85,7.13,0,3.27,1.18,0,118.66,164.13,131.07,40.97,7.27,15.4,0,0,0,77.01,102.97,76.86
415.66,0,0,0,0,0,0,23.59,20.46,19.56,9.44,1.18,0.16,220.05,222.49,166.47,64.46,34.08,39.8,8.19,8.59,0,152.21,203.4,150.68
417.81,0,0,0,0,0,0,45.78,23.2,19.56,9.44,1.18,9.45,267.93,267.68,215.35,74.24,83.43,39.8,8.36,8.59,0,185.98,255.35,201.21
419.96,0,0,0,0,0,0,31.56,21.54,31.55,6.17,0,9.45,287.18,295.58,268.62,41.93,78.62,24.41,8.36,8.59,0,150.68,170.05,141.19
422.11,0,0,0,0,0,0,32.64,12.2,35.11,0,0,9.28,290.94,282.64,286.38,18.44,60.5,0,0.17,0,0,75.96,86.67,67.37
424.25,0,0,0,0,0,0,15.24,33.71,39.15,2.25,0,0,322.19,264.53,302.31,8.65,11.15,0,0,0,0,37.74,50.11,9.22
426.4,0,0,0,0,0,0,28.69,30.41,43.11,12.97,0,0,335.28,281.6,313.07,11.52,28.54,0,0,0,0,47.67,71.71,14.67
428.54,0,0,0,0,0,0,29.9,27.86,29.15,22.14,0,0,330.2,286.5,330.67,27.04,18.78,0,0,0,0,59.32,62.01,36.22
430.68,0,0,0,0,0,0,37.96,47.5,37.05,19.9,0,0.44,315.41,314.68,341.55,68.04,22.74,0,9.75,36.08,43.5,107.81,129.82,80.09
432.83,0,0,0,0,0,0,48.65,71.11,47.93,9.17,0,13.28,354.13,302.71,325.61,71.67,11.93,0,9.75,46.74,43.5,133.57,155.9,103.57
434.97,0,0,0,0,0,0,53.76,97.47,70.22,0,0,13.28,352.02,318.58,313.52,56.14,11.93,0,9.75,46.74,43.5,138.74,148.55,82.01
437.11,0,0,0,0,0,0,40.91,55.02,59.71,0,0,12.85,277.21,251.41,233.39,15.14,7.97,0,0,10.66,0,84.54,65.35,28.93
439.24,0,0,0,0,0,0,15.62,29.23,32.89,0,0,0,144.26,147.49,154.77,0,0,0,0,0,0,24.29,0,0
441.38,0,0,0,0,0,0,3.49,1.44,1.43,0,0,0,38.93,35.54,64.39,0,0,0,0,0,0,0,0,0
443.52,0,0,0,0,0,0,9.84,0,2.84,0,0,0,37.02,20.94,23.16,0,0,0,0,0,0,0,0,0
445.65,0,0,0,0,0,0,6.36,8.97,5.4,0,0,0,88.08,89.59,97.23,0,0,0,0,0,0,0,0,0
447.79,1.72,0,0,0,0,0,43.65,65.78,37.77,2.42,0,7.05,243.78,241.53,249.01,24.51,1.07,10.12,0,8.34,0,30.87,28.01,0
449.92,1.72,0,0,0,0,0,39.77,88.74,52.77,2.42,0,7.05,361.9,360.63,381.14,24.51,1.07,10.12,0,8.34,0,30.87,28.01,0
452.05,1.72,0,0,0,0,0,39.77,91.76,54.42,2.42,0,7.05,471.44,452.48,434.7,24.51,1.07,10.12,0,8.34,0,30.87,28.01,0
454.19,0,0,0,0,0,0,2.47,34.95,22.05,0,0,0,462.97,459.32,422.57,0,0,0,0,0,0,0,0,0
