wavenumber,PS_PE 50ppm-1,PS_PE 50ppm-2,PS_PE 50ppm-3,PS_PE 100ppm-1,PS_PE 100ppm-2,PS_PE 100ppm-2,PS_PE 200ppm-1,PS_PE 200ppm-2,PS_PE 200ppm-3
498.72,0,0,0,0,5.57,0,0,0,0
500.83,16.23,40.71,19.54,4.54,34,6.09,44.1,75.59,66.48
502.93,16.23,40.71,19.54,4.54,34,6.09,51.37,75.59,68.41
505.04,16.23,40.71,19.54,4.54,28.43,6.09,51.37,75.59,68.41
507.15,0,0,0,0,0,0,7.27,0,1.93
509.25,0,0,0,0,0,0,0,0,0
511.36,0,0,0,0,0,0,0,0,0
513.46,0,0,0,0,0,0,0,0,0
515.56,0,0,0,0,0,0,0,0,0
517.66,37.93,31.74,11.95,0,6.88,0,0,0,0
519.77,49.01,45.73,37.83,0,6.88,0,0,0,0
521.86,49.01,45.73,37.83,0,6.88,0,0,0,0
523.96,11.07,13.99,25.88,0,0,0,0,0,0
526.06,0,0,0,0,0,0,0,0,0
528.16,24.4,19.73,10.36,0,0,0,0,0,0
530.25,53.71,28.15,10.36,11.64,0,0,0,0,0
532.35,53.71,33.95,10.36,11.64,0,0,0,0,0
534.44,34.83,22.02,0,11.71,5.58,44.07,0,0,0
536.53,15.97,13.77,0,0.07,8.62,44.07,0,0,0
538.62,15.97,7.97,0,0.07,8.62,44.07,0,0,0
540.71,10.46,0.17,0,0,3.04,0,0,0,0
542.8,64.37,55.33,24.46,24.09,15.5,66.44,10.32,19.66,41.43
544.89,169.89,164.89,136.18,143.99,146.76,245.34,228.68,225.69,258.88
546.98,311.48,316.94,260.08,306.26,330.68,469.24,564.99,553.35,582.94
549.06,396.29,406.98,360.54,473.24,541.86,528.8,911.75,873.47,883.99
551.15,441.36,443.27,366.58,538.02,589.16,507.46,1031.41,997.82,1002.27
553.23,421.36,411.83,311.23,490.92,548.23,391.89,986.98,959.74,931.13
555.32,343.08,330.08,244.58,364.08,411.19,354.87,825.22,821.67,805.66
557.4,240.84,225.38,181.97,208.48,290.73,238.41,606.15,637.29,579.22
559.48,147.42,122.16,131.85,93.31,190.28,159.29,418.87,442.37,437.58
561.56,149.95,107.54,106,47.23,117.31,97.62,369.18,390.36,378.18
563.64,183.53,119.96,115.52,83.75,71.25,69.2,446.85,412.05,463.15
