wavenumber,PE 10ppm-1,PE 10ppm-2,PE 10ppm-3,PE 50ppm-1,PE 50ppm-2,PE 50ppm-3,PE 100ppm-1,PE 100ppm-2,PE 100ppm-3,PE 200ppm-1,PE 200ppm-2,PE 200ppm-3
376.82,1729.52,1690.7,1649.75,1406.72,1260.77,1321.4,908.84,838.24,944.94,960.36,890.34,836.62
378.98,1649.93,1576.04,1555.4,1336.24,1246.33,1268.95,833.66,767.31,841.48,924.35,866.12,850.43
381.15,1600.41,1467.48,1470.78,1290.7,1207.45,1232.74,791.87,728.75,794.37,900.57,827.46,872.79
383.32,1569.1,1463.49,1437.35,1224.2,1146.18,1141.16,772.11,718.18,706.91,836.76,805.74,828.41
385.48,1486.65,1463.08,1430.11,1173.39,1123.51,1091.88,745.04,685.28,695.77,787.24,770.62,775.62
387.64,1450.3,1445.8,1384.27,1118.16,1094.67,1060.78,733.23,668.6,631.5,725.58,735.65,707.98
389.8,1386.36,1391.96,1322.16,1103.5,1021.32,1089.19,707.01,672.8,656.44,719.42,727.17,694.82
391.96,1393.84,1352.24,1256.78,1081.41,996.12,1029.12,699.7,693.22,638.25,732.77,727.5,701.8
394.12,1338.6,1321.84,1254,1043.11,995.3,979.44,671.21,679.76,673.16,750.18,752.54,686.47
396.28,1323.55,1288.65,1242.05,966.48,974.06,902.71,644.42,630.29,635.39,724.21,721.17,683.4
398.44,1207.33,1248.34,1232.59,912.52,884.08,860.26,611.99,577.82,613.61,683.85,637.71,667.56
400.6,1082.71,1197,1126.06,789.33,745.46,781.19,549.37,505.13,517.26,598.22,559.62,617.75
402.75,958.37,1091.62,1042.44,705.58,681.2,695.84,502.89,448.56,481.34,549.29,477.89,529.62
404.91,901.97,959.21,933.41,564.27,599.97,613.54,455.9,435.76,439.53,474.76,461.52,488.18
407.06,827.49,862.1,857.95,512.39,533.09,501.61,391.38,421.75,414.48,427.26,415.17,456.09
409.21,755.37,758.37,778.84,430.71,449.33,449.84,323.78,401.96,359.65,382.92,369.62,413.45
411.36,645.95,662.71,670.75,364.89,371.04,373.55,225.78,292.4,293.37,321.4,311.86,345.6
413.51,573.21,549.1,628.66,278.27,321.54,330.73,184.36,226.73,227.97,266.04,261.23,265.87
415.66,498.05,465.09,530.79,247.74,262.04,271.95,190.76,206.51,177.68,216.04,206.95,234.48
417.81,418.57,406.12,428.92,203.72,220.67,204.3,196.41,219.19,150.26,202.85,174.46,165.87
419.96,378.98,354.07,361.93,189.79,123.96,135.02,194.55,181.65,144.63,182.69,154.3,144.6
422.11,285.28,236.27,301.14,100.9,51.75,55.16,134.16,132.23,93.75,137.23,152.83,110.66
424.25,227.8,120.72,231.23,54.21,0,20.39,76.42,59.11,46.08,69.24,92.69,66.14
426.4,112.21,33.42,128.18,0,0,0,25.98,38.32,0,25.81,39.72,32.52
428.54,68.26,10.99,42.92,0,0,0,0,0,0,0,1.73,1.74
430.68,23,5.89,22.56,0,0,0,0,0,0,0,0,1.74
432.82,14.62,0,0,0,0,0,0,0,0,0,0,0.77
434.97,0,0,0,0,0,0,0,0,0,0,0,0.77
437.11,0,0,0,0,0,0,0,0,0,0,0,0.77
439.24,0,0,0,0,0,0,0,0,0,0,0,0
441.38,0,0,0,0,0,0,0,0,0,0,0,0
443.52,0,0,0,0,0,0,0,0,0,0,0,0
445.65,0,0,0,0,0,0,0,0,0,0,0,0
447.79,0,0,0,0,0,0,0,0,0,0,0,0
449.92,0,0,0,0,0,0,0,0,0,0,0,0
452.05,0,0,0,0,0,0,0,0,0,0,0,0
454.19,0,0,0,0,0,0,0,0,0,0,0,0
