wavenumber,PLA 5ppm-1,PLA 5ppm-2,PLA 5ppm-3,PLA 10ppm-1,PLA 10ppm-2,PLA 10ppm-3,PLA 50ppm-1,PLA 50ppm-2,PLA 50ppm-3,PLA100ppm-3,PLA100ppm-2,PLA100ppm-1,PLA 200ppm-1,PLA 200ppm-2,PLA 200ppm-3,PLA 300ppm-1,PLA 300ppm-2,PLA 300ppm-3,PLA 400ppm-1,PLA 400ppm-2,PLA 400ppm-3,PLA 500ppm-1,PLA 500ppm-2,PLA 500ppm-3,PLA600ppm-3,PLA600ppm-2,PLA600ppm-1
376.82,1062.78,1040.13,1035.63,658.62,734.24,690.33,1047.5,1062.92,1018.97,95.88,153.43,137.02,175.64,122.76,156.64,128.96,97.96,174.5,110.66,73.02,111.73,0,0,0,9.52,88.23,133.09
378.98,1150.05,1138.84,1064.93,690.99,739.96,731.37,1095.21,1046.62,1089.3,95.01,109.47,130.74,185.65,164.94,129.59,130.05,126.44,133.81,108.86,104.04,118.79,0,0,0,60.61,143.33,123.18
381.15,1245.11,1242.33,1142.34,742.52,734.16,757.24,1148.15,1051.88,1127.86,106.65,107.35,138.63,178.19,165.3,139.39,142.33,143.77,135.96,114.19,123.86,147.67,0,0,0,126.42,208.18,146.34
383.32,1337.44,1334.44,1245,760.71,764.02,777.77,1183.89,1068.6,1147.55,118.01,125.27,133.9,212.46,171.06,147.59,152.98,147.16,133.84,123.17,123.35,149.88,5.52,3.4,1.55,166.77,225.94,186.07
385.48,1403.49,1442.93,1331.7,793.35,747.33,774.75,1181.87,1132.21,1173.81,122.18,146.01,143.32,211.57,141.66,181.63,148.8,164.71,158.55,110.59,124.61,154.87,18.34,6.87,1.55,231.1,217.39,211.8
387.64,1486.27,1501.49,1408.76,796.11,802.09,817.85,1194.43,1163.71,1194.64,133.52,144.58,136.9,223.86,180.09,202.18,150.45,177.75,173.76,111.78,143.99,137.62,30.63,27.57,15.1,216.42,246.2,255.53
389.8,1576.78,1589.45,1466.87,816.98,834.29,867.41,1211.23,1207.11,1219.71,134.02,161.63,151.3,199,203.36,209.23,162.59,165.97,215.14,127.07,161.47,160.16,36.38,62.95,45.2,224.72,299.36,260.28
391.96,1640.46,1637.58,1511.8,840.07,871.06,884.85,1258.05,1188.18,1205.12,155.45,146.28,141.29,191.08,195.91,195.56,193.34,196.79,182.46,143.24,160.51,193.58,40.32,62.19,66.12,204.79,359.33,284.82
394.12,1687.87,1700.11,1558.43,855.62,856.6,890.09,1285.11,1240.47,1220.1,161.71,145.41,154.44,211.68,188.97,183.72,195.25,214.1,191.96,141.84,175.33,188.12,62.34,88.17,94.83,248.19,358.99,263.03
396.28,1699.12,1694.49,1568.56,856.4,829.37,862.88,1298.52,1226.1,1189.76,170.91,116.82,147.52,220.89,157.31,173.51,210.44,244.37,177.73,125.33,175.04,172.88,80.56,70.01,80.74,234.69,351.13,232.38
398.44,1747.33,1732.5,1604.62,818.51,829.48,846.35,1273.72,1222.5,1188.53,165.82,128.6,147.65,223.5,189.37,195.69,203.34,243.68,222.56,116.15,206.09,156.98,108.42,94.49,89.96,239.41,345.19,219.96
400.6,1739.5,1724.46,1539.95,785.63,798.92,795.17,1195.38,1119.02,1143.77,125.11,117.1,115.82,180.18,146.49,167.92,197.29,193.38,178.44,96.3,154.14,140.42,85.25,55.28,54.48,200.68,284.17,186.79
402.75,1751.63,1712.39,1562.56,728.76,768.37,759.32,1122.17,1032.98,1085.12,109.46,133.31,103.04,164.92,134,170.88,164.63,161.8,177.05,96.78,156.53,120.19,73.4,40.05,54.32,204.84,272.41,206.86
404.91,1687.16,1656.72,1534.88,698.67,723.27,731.6,1059.53,978.17,1026.7,82.97,107.01,104.41,143.5,115.69,152.68,136.13,114.39,147.5,86.04,107.37,109.09,28.78,21.23,34.59,172.68,220.69,194.28
407.06,1651.09,1642.13,1516.59,626.04,663.29,681.33,1001.78,912.24,947.84,102.64,101.53,100.28,131.58,132.2,142.98,105.8,113.14,140.11,74.74,106,112.76,39.44,13.76,48.28,161.51,196.01,184.73
409.21,1605.1,1588.62,1425.36,562.53,598.76,643.85,922.61,864.53,866.88,69.47,85.22,83.64,90.84,119.89,134.45,90.62,115.06,108.89,48.55,68.09,101.23,21.8,12.12,31.73,104.69,143.7,123.21
411.36,1572.52,1517.85,1335.85,482.13,510.35,578.16,811.33,749.37,734.81,64.8,80.73,51.49,54.94,74.08,80.09,72.95,89.81,80.5,43.48,50.96,74.15,21.8,17.58,21.33,67.54,133.44,86.39
413.51,1494.8,1415.6,1287.17,422.3,466.84,530.71,748.39,691.54,681.41,46.74,77.84,43.61,42.33,40.21,56.34,76.88,61.01,62.73,42.3,27.73,49.97,0,35.33,8.08,32.85,122.33,67.37
415.66,1383.15,1327.78,1207.23,376.6,409.78,448.38,654.69,593.93,612.24,43.06,43.85,49.22,42.55,36.85,29.43,61.31,14.86,54.46,41.57,24.29,50.24,4.19,36.75,14.6,26.51,107.94,70.39
