wavenumber,PMMA10ppm-1,PMMA10ppm-2,PMMA10ppm-3,PMMA50ppm-1,PMMA50ppm-2,PMMA50ppm-3,PMMA100ppm-1,PMMA100ppm-2,PMMA100ppm-3,PMMA200ppm-1,PMMA200ppm-2,PMMA200ppm-3
376.82,85.96,96.64,91.87,265.04,316.06,245.28,1226.14,764.07,804.58,376.88,383.76,396.2
378.98,78.01,86.8,84.33,247.52,256.83,246.14,1223.45,771.29,739.18,370.3,393.83,395.36
381.15,74.04,91.92,76.77,251.6,235.2,264.93,1209.84,787.5,718.13,381.31,387.5,396.77
383.32,63.37,96.35,76.17,247.56,257.46,258.95,1226.34,778.39,717.08,383.18,385.73,420.41
385.48,59.88,81.96,74.43,257.63,273.17,272.1,1198.85,767.83,753.93,396.16,358.75,413.5
387.64,58.14,67.65,76.76,262.71,296.88,263.92,1220.91,733.71,739.58,412.12,371.11,424.59
389.8,70.36,71.31,79.05,307.01,309.17,299.98,1185.09,751.26,726.56,433.96,374.7,428.25
391.96,55.33,72.71,68.76,322.32,300.12,312.39,1156.15,740.26,684.66,415.79,393.64,415.57
394.12,64.82,77.3,81.98,349.4,323.2,340.25,1090.88,753.81,663.33,384.06,397.69,399.67
396.28,48.27,60.85,84.51,339.39,334.18,313.36,1038.05,692.35,655.33,356.87,408.64,372.67
398.44,81.91,79.26,100.55,346.48,363.95,319.92,1028.88,664.45,625.57,354.45,398.72,382.13
400.6,63.85,55.3,80.23,309.81,331.95,305.06,999.14,579.89,605.15,307.91,379.36,332.14
402.75,73.54,62.42,75.99,303.82,318.3,308.88,961.29,552.09,555.51,300.37,345.68,288.5
404.91,54.97,51.62,77.83,287.5,305.33,316.06,900.65,469.41,510.32,255.48,319.01,240.19
407.06,47.37,48.79,82.63,281.74,269.26,287.47,821.78,401.72,468.47,266.82,277.92,224.46
409.21,37.62,41.48,72.95,251.45,235.99,250.02,728.23,302.59,406.85,225.26,235.61,178.51
411.36,28.96,15.25,45.36,215.83,200.07,193.93,628.55,242.89,321.34,196.36,190.99,117.23
413.51,36.48,25.54,47.95,191.33,198.94,169.96,576.53,237.08,239.06,149.57,172.15,102.42
415.66,33.86,19.36,44.07,157.63,176.28,163.8,538.49,204.49,188.34,118.89,128.11,90.06
417.81,24.88,28.14,41.49,131.49,153.52,166.22,500.55,159.23,166.63,91.77,76.42,77.6
419.96,13.86,36.23,19.21,121.26,130.34,149.22,425.7,97.3,123.25,57.86,17.71,29.46
422.11,3.97,32.95,15.9,104.6,119.74,125.8,367.27,49.85,65.67,25.78,0,6.99
424.25,7.23,22.68,8.75,86.85,98.05,95.96,282.6,30.34,23.51,4.96,0,0
426.4,3.95,3.48,25.71,43.34,88.27,97.36,238.36,0,0,0,0,0
428.54,5.32,0,20.37,51.07,48.65,69.36,188.87,0,0,0,0,0
430.68,2.93,19,20.37,54.16,37.48,57.05,173.91,0,0,0,0,0
432.82,15.9,21.44,0,54.71,30.44,43.54,127.25,0,0,0,0,0
434.97,14.53,21.44,5.55,23.31,38.51,39.29,114.8,0,0,0,0,0
437.11,12.97,2.44,5.55,6.13,29.4,23.73,63.35,0,0,0,0,0
439.24,0,0,5.55,1.65,8.07,0,37.84,0,0,0,0,0
441.38,0,0,0,1.65,0,0,0,0,0,0,0,0
443.52,0,0,0,0,0,0,0,0,0,0,0,0
445.65,0,0,0,0,0,0,0,0,0,0,0,0
447.79,12.76,14.13,1.86,0,0,0,0,0,0,0,0,0
449.92,12.76,14.13,1.86,0,0,0,0,0,0,0,0,0
452.05,12.76,14.13,1.86,0,0,0,0,0,0,0,0,0
454.19,0,0,0,0,0,0,0,0,0,0,0,0
456.32,0,0,0,0,0,0,0,0,0,0,0,0
458.45,0,0,0,0,0,0,0,0,0,0,0,0
460.57,0,0,0,0,0,0,0,0,0,0,0,0
462.7,0,0,0,0,0,0,0,0,0,0,0,0
464.83,0,0,0,0,0,0,0,0,0,0,0,0
466.95,0,0,0,0,0,0,0,0,0,0,0,0
469.08,0,0,0,0,0,0,0,0,0,0,0,0
471.2,0,0,0,0,0,0,0,0,0,0,0,0
473.32,4.44,2.22,0,0,0,0,0,0,0,0,0,0
475.45,4.44,2.22,0,0,0,0,0,0,0,0,0,0
477.57,9.53,2.22,0,0,0,0,0,0,0,0,0,0
479.69,15.51,0,7.5,0,5.71,0,0,0,0,0,0,0
481.8,15.51,0,7.67,0,5.71,0,0,0,0,0,0,0
483.92,10.41,0,12.27,0,5.71,0,0,0,0,0,0,0
486.04,0,0,4.77,0,0,0,0,0,0,0,0,0
488.15,0,0,4.6,0,0,0,0,0,0,0,0,0
490.27,0,0,0,0,0,0,0,0,0,0,0,0
492.38,0,1.45,2.92,0,3.76,0,0,0,0,0,0,0
494.49,0,2.42,2.92,0,3.76,0,0,0,0,0,0,0
496.61,0,2.42,2.92,0,3.76,0,0,0,0,0,0,0
498.72,0,0.97,0,0,0,0,0,0,0,0,0,0
500.83,3.48,1.69,0,0,0,1.88,0,0,0,0,0,0
502.93,3.48,1.69,0,0,0,1.88,0,0,0,0,0,0
505.04,3.48,1.69,0,0,0,1.88,0,0,0,0,0,0
507.15,0,0,0,0,0,0,0,0,0,0,0,0
509.25,0,0,0,0,0,0,0,0,0,0,0,0
511.36,0,0,0,0,0,0,0,0,0,0,0,0
513.46,0,0,0,0,0,0,0,0,0,0,0,0
515.56,0,0,0,0,0,0,0,0,0,0,0,0
517.66,0,0,0,0,0,0,0,0,0,0,0,0
519.76,0,0,0,0,0,0,0,0,0,0,0,0
521.86,0,0,0,0,0,0,0,0,0,0,0,0
523.96,0,0,0,0,0,0,0,0,0,0,0,0
526.06,0,0,0,0,0,0,0,0,0,0,0,0
528.16,0,0,0,0,0,0,0,0,0,0,0,0
530.25,0,0,0,0,0,0,0,0,0,0,0,0
532.35,0,0,0,0,0,0,0,0,0,0,0,0
534.44,0,0,0,0,0,0,0,0,0,0,0,0
