Wavelength,Wavenumber,PLA50ppm-1,PLA50ppm-2,PLA50ppm-3,PLA100ppm-1,PLA100ppm-2,PLA100ppm-3,PLA200ppm-1,PLA200ppm-2,PLA200ppm-3,PLA300ppm-1,PLA300ppm-2,PLA300ppm-3,PLA400ppm-1,PLA400ppm-2,PLA400ppm-3,PLA500ppm-1,PLA500ppm-2,PLA500ppm-3,PLA600ppm-1,PLA600ppm-2,PLA600ppm-3
808.98,376.82,65.13,58.3,116.02,151.64,185.72,201.49,137.52,178.66,132.14,37.22,126.43,59.3,59.08,94.98,70.82,471.93,545.29,476.45,540.7,370.92,490.48
809.12,378.99,79.7,60.43,60.45,147.6,191.59,196.97,153.38,168.91,113.28,58.48,82.4,47.49,56.41,54.51,55.42,460.91,497.82,455.19,480.44,412.36,418.48
809.26,381.15,75.72,63.01,54.65,153.91,183.5,199.15,164.21,172.46,112.36,73.75,69.03,59.02,79.42,32.07,46.71,456.86,461.95,453.55,423.16,427.77,378.44
809.4,383.32,71.53,59.04,55.97,173.87,158.38,180.98,151.6,157.91,117.3,72.31,75.61,68.85,106.08,42.27,69.32,476.68,423.28,470.43,408.78,418.72,378.25
809.54,385.48,68.67,64.06,91.62,182.03,152.14,186.68,152.78,169.82,161.33,85.72,87.03,103.87,130.27,72.34,103.13,437.94,389.36,480.73,392.87,415.78,401.83
809.69,387.64,98.81,85.43,97.93,181.39,165.11,185.92,160.09,168.51,181.11,110.31,133.96,129.74,113.66,104.95,148.15,411.3,390.85,470.44,398.09,407.61,403.49
809.83,389.8,103.07,111.57,126.69,187.73,182.39,202.15,175.64,189.44,211.1,129.2,146.17,172.58,112.7,140.55,167.16,400.55,395.2,478.35,387.22,395.99,408.03
809.97,391.96,99.78,111.15,112.89,210.71,195,221.03,198.76,204.28,181.95,150.72,186.34,186.73,118.39,143.79,169.83,455.68,410.75,439.79,372.93,374.6,416.77
810.11,394.12,92.61,111.85,120.2,226.69,196.93,263.57,191.12,227.35,219.35,170.87,188.14,206.51,160.4,149.03,159.48,482.7,411.84,440.76,367.21,361.09,418.38
810.25,396.28,81.21,109.33,100.63,220.64,198.18,252.43,194.4,243.67,202.95,195.33,190.55,199.26,160.05,143.58,149.79,440.27,388.12,399.27,343.08,353.47,386.86
810.39,398.44,95.82,118.8,120.38,203.47,181.98,213.83,181.47,244.79,237.31,198.64,184.48,198.87,156.25,130.68,169.65,375.62,401.83,399.87,330.41,324.63,351.44
810.54,400.6,82.32,87.84,89.68,186.4,174.54,156.01,163.24,217.93,179.01,159.7,133.49,188.24,133.21,140.21,160.28,302.97,331.52,333.11,297.1,304.46,316.01
810.68,402.75,82.61,74.65,75.43,176.64,175.77,149.84,140.59,184.32,173.91,144.73,152.12,174.58,126.49,132.07,146.9,273.21,324.41,285.23,272.37,273.85,298.79
810.82,404.91,73.78,72.35,45.74,142.32,164.09,128.1,113.64,152.74,140.15,116.84,149.83,156.34,129.2,138.69,124.29,233.78,255.62,257,268.67,272.92,262.22
810.96,407.06,46.58,67.5,53.82,114.32,134.41,104.03,115.61,122.41,126.27,133.27,154.17,115.42,112.9,95.98,111.68,200.58,250.03,217.3,235.89,240.21,250.86
811.1,409.21,33.76,40.16,38.68,64.41,85.51,74.4,73.26,87.77,89.05,111.11,123.58,103.58,98.7,90.7,89.85,170.72,176.77,179.26,214.13,210.83,193.5
811.24,411.36,22.39,53.31,40.43,33,75.93,70.09,54.85,47.06,57.06,106.92,100.96,91.73,77.17,79.42,42.75,148.43,132.72,102.1,184.96,161.36,169.02
811.38,413.51,51.85,78.46,58.5,35.97,80.9,80.34,49.93,63.82,48.52,114.61,105.54,122.41,74.18,77.69,41.8,136.91,94.1,85.04,186.6,139.01,137.31
811.53,415.66,80.93,107.42,86.79,65.59,81.2,87.24,97.94,73.18,59.2,128.94,96.42,132.74,101.85,49.62,39.85,114.3,66.24,64.53,155.49,147.22,147.82
811.67,417.81,68.45,106.13,79.75,88.38,69.84,90.15,105.53,67.88,69.79,103.91,94.6,142.06,101.84,47.88,67.15,76.25,36.71,61.23,94.93,131,118.87
811.81,419.96,43.2,74.72,48.6,65.77,35.58,57.49,70.38,51.54,67.71,85.32,69.87,115.8,79.95,35.74,40.51,39.98,2.75,36.88,63.44,88.86,94.93
811.95,422.11,13.07,45.75,20.31,35.49,27.66,43.51,47.28,28.1,44.87,48.7,59.11,70.51,40.38,45.11,27.3,4.17,2.75,15.41,26.51,30.56,44.02
