WP-00790,Wavenumber,PMMA200ppm-1,PMMA200ppm-2,PMMA200ppm-3,PMMA100ppm-1,PMMA100ppm-2,PMMA100ppm-3,PMMA50ppm-1,PMMA50ppm-2,PMMA50ppm-3,PMMA10ppm-1,PMMA10ppm-2,PMMA10ppm-3,PMMA5ppm-1,PMMA5ppm-2,PMMA5ppm-3
808.98,376.82,1975.66,2080.63,2006.55,1611.01,1690.37,1656.51,1103.62,1143.31,1150.04,585.78,542.12,496.72,543.42,534.59,499.38
809.12,378.99,1803.13,1849.54,1805.88,1484.41,1521.02,1557.1,989.35,1023.68,985.47,561.89,518.47,525.04,482.15,497.57,515.45
809.26,381.15,1661.27,1693.11,1666.17,1392.11,1378.63,1477.97,914.1,975.06,915.58,548.88,526.01,536.22,446.94,477.94,490.57
809.4,383.32,1554.34,1577.62,1572.68,1319.37,1336.42,1366.35,856.64,890.91,870.81,539.96,512.31,531.15,438.78,416,476.41
809.54,385.48,1448.88,1483.93,1460.28,1268.06,1269.29,1244.8,845.85,879.09,858.72,527.69,491.9,491.39,425.21,415.65,444.16
809.69,387.64,1399.78,1415.26,1406.85,1206.4,1235.43,1168.52,825.29,844.5,826.52,547.97,486.03,506.84,406.47,408.77,447.06
809.83,389.8,1373.35,1377.27,1375.04,1220.7,1185.52,1159.17,842.29,856.8,867.87,539.46,517.36,535.49,407.54,460.7,457.11
809.97,391.96,1374.7,1388.04,1348.95,1226.06,1196.97,1183.51,859.94,835.08,856.21,577.61,563.34,597.79,429.88,465.88,453.41
810.11,394.12,1370.47,1393.24,1351.58,1268.48,1220.77,1235.21,876.58,869.35,895.87,614.09,605.31,638.09,469.82,464.65,456.98
810.25,396.28,1348.88,1373.4,1335.46,1250.5,1171.15,1211.46,835.08,854.15,863.07,632.13,623.82,658.6,473.92,428.89,414.69
810.39,398.44,1287.25,1332.86,1284.59,1185.1,1104.75,1154.27,781.11,845.48,840.79,637.06,628.22,645.99,470.5,426.95,412.55
810.54,400.6,1166.79,1190.48,1165.84,1060.83,1028.45,1012.51,747.56,721.88,728.59,565.77,595.38,595.17,401.12,378.03,382.78
810.68,402.75,1061.37,1061.49,1048.09,909.57,962.13,915.72,738.29,659.58,646.02,560.17,574.89,555.35,346.67,364.7,351.6
810.82,404.91,941.54,921.08,940.21,836.19,851.01,811.12,681.54,591.45,572.96,506.47,509.95,481.09,331.72,314.84,319.24
810.96,407.06,868.52,828.47,801.77,759.24,752.61,697.58,567.52,543.39,493.29,466.56,422.46,439.95,332.47,294.69,273.58
811.1,409.21,738.83,733.54,721.62,698.94,657.84,629.64,468.43,476.93,432.23,400.67,341.99,386.83,321.49,279.12,253.85
811.24,411.36,614.82,643.94,649.43,617.59,612.67,559.31,414.96,420.75,388.77,364.48,322.86,372.72,264.44,237.81,218.71
811.38,413.51,507.68,586.88,636.07,591.09,594.64,521.46,445.3,420.38,399.81,373.87,366.64,342.86,268.21,255.64,217.39
811.53,415.66,513.75,574.69,629.54,590.42,586.42,494.4,429.13,432.16,407.32,399.17,388.66,334.24,288.14,252.95,259.22
811.67,417.81,516.78,595.14,636.94,576.68,553.78,464.58,415.87,434.2,420.76,380.51,361.37,325.32,287,293.85,255.64
811.81,419.96,485.21,538.98,570.03,487.64,439.48,431.1,313.98,349.26,340.89,318,309.55,269.54,241.24,253.78,230.43
811.95,422.11,381.25,430.77,434.36,364.18,343.39,340.16,245.66,291.23,258.93,209.2,247.76,203.46,202.41,201.3,148.48
812.09,424.25,272.78,310.38,267.47,261.5,250.74,275.32,177.8,217,160.77,143.99,200.9,109.64,150.73,130.96,94.69
812.23,426.4,199.68,258.03,222.25,196.5,185.4,227.78,141.29,183.78,146.95,115.94,150.51,83.97,132.44,108,94.27
812.38,428.54,181.39,219.14,202.79,195.59,148.81,245.65,134.23,136,129.58,119.16,120.06,74.9,78.63,93.85,99
812.52,430.68,208.33,217.5,258.53,147.23,165.73,261.37,166.38,158.12,172.1,161.43,105.64,120.87,102.09,147.95,124.99
812.66,432.83,186.16,194.74,219.79,187.72,179.49,261.25,187.43,148.78,158.84,155.43,98.61,127.56,111.49,181.65,121.91
812.8,434.97,112.45,140.19,155.12,114.04,125.86,159.3,156.24,108.88,169.68,128.37,69.03,89.13,126.71,152.82,86.65
812.94,437.11,35.9,50.34,56.91,84.19,52.42,74.16,68.9,32.64,78.98,49.09,38.57,35.91,77.98,71.93,46.67
813.08,439.24,0,0,0,0,0,0,14.8,0,45.85,8.45,0,0,30.37,2.06,4.08
813.22,441.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
813.36,443.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
813.51,445.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
813.65,447.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
813.79,449.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
813.93,452.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
814.07,454.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
814.21,456.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
814.35,458.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
814.49,460.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
814.64,462.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
814.78,464.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
814.92,466.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
815.06,469.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
815.2,471.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
815.34,473.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
815.48,475.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
815.62,477.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
815.76,479.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
815.91,481.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
