TSNE1,TSNE2,label
1.5130037,5.808012,4
-4.1745586,-13.519337,4
-22.954412,10.882467,1
-20.66375,12.894778,1
11.242202,18.502634,3
-7.6972394,25.900738,4
3.6217625,3.481515,4
4.217592,3.263817,4
-16.296764,-5.525256,1
-20.782614,9.557981,1
-8.028869,-17.55153,4
14.351784,2.609311,3
2.6162558,5.7668524,4
-1.4587853,-23.993462,2
18.476059,3.6736097,4
15.610622,-0.3563648,4
-16.794804,-4.598637,1
17.573051,-13.800209,0
-0.7424047,-8.806942,4
-20.607254,12.619606,1
8.878427,0.5506007,3
14.185048,1.1838547,3
1.7653086,-24.40678,2
14.626496,1.1500975,3
17.193493,4.052213,4
8.545506,19.368889,3
11.766957,18.86441,3
-19.356035,16.388659,1
0.9920189,-25.156225,2
-16.63108,15.849157,1
-22.634283,9.290377,1
18.66134,-15.205676,0
1.6279079,5.7087603,4
4.8827777,16.39194,3
-21.854801,2.245647,1
-14.855991,-6.1211824,1
-0.46132493,-26.330303,2
2.1791866,3.8231192,3
-7.8293834,-16.408709,2
-21.338642,1.5792099,4
3.580565,19.97897,4
16.739813,-15.582646,0
-8.100699,-19.750925,2
-2.9627252,-11.925111,4
-0.20638555,-26.119755,2
0.4463079,-20.73314,4
-19.31338,-1.858316,1
14.309362,-17.215015,2
1.1373736,-25.910645,2
17.423672,14.04499,3
1.250045,-25.53331,2
0.0016676048,-28.211456,2
-0.54395354,-23.38712,2
4.122512,20.591953,3
3.595026,3.8912117,4
-0.13807522,-9.351385,4
-10.319625,-10.143459,4
16.730038,3.4899058,4
-19.369246,-1.4065901,1
4.885224,16.324125,3
-18.048227,-2.5354671,1
-1.1327682,-24.337358,2
-7.6972394,25.900738,4
11.415349,18.004221,3
2.9634473,4.1099577,4
-24.178478,11.254659,1
4.5980706,18.39904,3
15.479767,-15.636909,0
-7.6972394,25.900738,4
-21.65306,3.3593009,1
-14.421051,-6.009896,1
21.091026,-7.052232,0
0.64741945,5.9333334,4
-23.765404,10.399973,1
0.03824209,-28.215677,2
2.2153924,4.257625,4
-22.86916,7.4332924,1
-16.981697,15.470829,1
-1.4276699,-10.757627,4
16.949953,3.4019067,4
-24.429708,11.2214365,1
-1.103884,-10.115259,4
9.086043,0.70435673,3
-16.597076,14.761821,1
19.708172,-14.617358,0
9.952303,0.79883057,1
21.661373,-11.738261,0
-1.2215792,-9.387097,4
2.2843802,11.752832,3
-21.056934,1.4184542,4
-4.799531,-18.500021,2
-16.325912,-5.290752,1
1.3574541,4.4327292,4
-16.426603,14.8385725,1
18.100658,3.8421874,4
0.47916445,-23.16454,2
-0.36531448,-25.233223,2
2.1478415,3.733619,3
-19.592968,-1.9400167,1
-7.6972394,25.900738,4
16.14778,-15.440267,0
-7.936177,-18.86293,2
-21.388945,3.0908163,1
-8.441792,-19.03452,2
4.122512,20.591953,3
9.204958,0.77885485,3
18.876118,12.310555,3
14.849995,-16.447426,0
16.982212,-14.474492,0
21.239622,-12.709875,0
22.975624,-9.830415,0
18.55072,13.617817,3
-23.241716,11.484472,1
1.5598279,-26.051722,2
-7.6972394,25.900738,4
17.603407,3.3591402,4
-8.500995,-19.082067,2
1.070889,-28.327486,2
-19.912184,-0.98573256,1
-1.15071,-25.636621,2
2.2222686,-24.853323,2
13.303048,-14.768861,4
23.481606,-10.176608,0
0.35109887,-25.431358,2
4.5963135,20.602245,3
15.450479,-0.46639583,4
-14.424445,-2.8125446,1
-13.356182,-3.4512267,4
-6.8278475,-16.168592,4
-17.067432,16.117907,1
-12.705477,-7.923223,4
-11.238227,-10.074067,4
14.972788,2.9940581,4
15.618968,1.9401114,4
5.625385,-24.679573,2
-16.95125,-3.444421,1
-18.543262,-2.311259,1
-17.603033,-5.4735284,1
13.751409,1.1120577,3
8.821328,19.454485,3
-23.056818,7.8896546,1
19.627407,-13.989482,0
-16.173756,14.74317,1
11.370981,19.14564,3
9.36931,19.028067,3
-19.418201,13.735118,1
21.091017,-7.0522313,0
-1.3495492,-25.064068,2
14.751774,1.0258299,3
-21.543446,2.3269506,1
-12.25722,-6.612822,4
-7.6972394,25.900738,4
23.137825,-10.0964575,0
-16.24873,14.699057,1
5.764216,-24.498198,4
20.836523,-12.346013,0
-11.964453,-12.290388,4
-0.9780533,-25.295803,2
4.736272,19.820242,3
-10.415076,-3.4712934,4
8.154874,19.23738,3
-11.487535,-9.603866,4
-14.218268,-3.238397,1
-0.45168117,-11.1266575,4
-18.888313,18.085068,1
18.787487,3.1717296,4
15.1950445,-16.913454,0
8.790899,19.354395,3
22.533375,-11.376555,0
-23.549646,10.037313,1
11.927203,18.853506,3
4.228149,19.26355,3
17.53915,13.870171,3
-4.547804,-18.562511,2
0.03799235,-28.191238,2
-14.104193,-3.1809995,1
1.4428121,-24.620354,2
19.686115,-15.837613,0
22.502716,-9.179877,4
0.4658385,-11.30244,4
-5.2836676,-13.970047,4
0.49779308,-20.533997,4
-1.1468524,-9.149823,4
17.68621,-14.38981,0
5.0368595,-23.19069,4
-14.43712,12.528028,4
-24.915344,10.641186,1
4.194991,19.32225,3
23.002893,-10.373663,0
-16.943962,18.265995,1
19.982128,-13.060143,1
2.7658393,-25.487236,2
17.261917,13.331473,3
-7.6972394,25.900738,4
-16.472992,-4.4953394,1
1.8500649,-24.29303,2
2.3512404,11.6511345,3
15.102768,-16.928633,0
-24.337929,10.651181,1
-12.486383,-8.988142,4
1.8959444,3.1841238,4
2.2445924,4.8187256,4
16.066778,3.2869728,4
-8.270086,-19.40102,2
4.598587,18.420015,3
-21.773643,2.518586,1
-15.835443,-4.3847404,1
21.091017,-7.0522313,1
17.988943,2.961964,4
2.3532526,-26.52024,2
7.512147,19.243334,3
4.617248,18.30237,3
2.7603772,-25.500013,2
-18.888308,18.08518,4
21.225807,-12.253282,0
-5.186495,-13.930161,4
17.314627,13.382248,3
9.157048,0.04457269,3
-7.6972394,25.900738,4
-17.7435,15.09583,1
-15.729239,-6.2036343,0
-15.960982,-4.8460894,1
-20.0306,18.000383,1
-21.334423,2.8537157,1
-8.537954,-16.151348,2
8.796557,0.3050768,3
2.9328215,-26.145514,2
-7.7811565,-18.859062,2
2.0470047,3.7115438,3
10.0098715,0.66272604,4
-8.106921,-19.616262,2
-1.0418718,-8.578175,4
-0.033457275,-20.666164,4
11.404994,1.6901407,4
-15.553241,-5.313805,1
4.2003284,19.808352,3
16.673143,13.47504,3
-21.129297,9.809105,1
-0.04886905,1.3008434,4
-7.911202,-16.163805,2
-10.822394,-10.399334,4
19.07842,-15.409833,0
4.8447814,19.184813,3
-3.6055126,-12.821691,4
-7.9119277,-18.963219,2
19.257559,12.574732,3
-5.1989956,-13.998366,4
0.08137377,-23.220032,2
0.95594215,3.522931,4
4.7879496,19.739876,3
-9.034734,-15.354916,4
-7.805614,-19.493628,2
-17.008898,-4.9506626,1
-22.225536,7.1527915,1
17.044731,13.425704,3
-11.9481535,-12.180033,4
-15.229061,-6.876245,1
-8.101404,-18.35098,2
11.154537,19.001684,3
20.84953,-12.742141,0
-1.353703,-23.29619,2
-7.6972394,25.900738,4
18.17162,3.079187,4
-7.924889,-16.003555,2
-20.582327,10.423111,1
2.0921192,11.068931,3
19.52641,-14.219232,0
-3.7889936,-13.758068,4
-24.686796,11.973483,4
17.973969,13.466836,3
17.411415,-13.797409,0
-1.0645058,-10.434747,4
-16.742233,-4.295633,1
5.532838,-24.80185,2
0.9233477,-23.995907,2
19.75094,-13.874342,0
-8.074329,-17.202143,2
-16.820002,18.292027,1
0.59562874,-11.128726,4
2.6420631,3.4347355,3
14.284053,-17.105947,4
0.94169915,3.6239705,4
-1.211471,-23.713736,2
1.3359431,10.388835,4
-18.745235,17.676609,4
17.936987,13.839628,3
16.789204,13.657704,3
16.522705,13.436475,3
-16.811884,-5.5778165,1
1.755918,-23.9142,2
16.64472,10.817263,4
11.628306,18.16142,3
-7.429636,-17.179726,2
-7.6972394,25.900738,4
2.1766112,10.975644,3
14.808993,-16.975464,0
-21.253433,8.852955,1
11.531993,19.053663,3
-0.7220456,-24.936897,2
-21.739492,4.6842194,1
10.74121,1.0143021,4
9.390894,-0.03953584,3
17.044165,11.788204,4
-22.655283,9.860681,1
16.490856,1.4333948,3
-4.4848394,-18.664156,2
-4.152476,-18.393644,4
10.204854,1.1053683,1
-1.2215583,-10.567387,4
1.9937838,3.7153523,4
23.084291,-10.059596,0
13.248854,2.2365003,3
-4.5971313,-13.868972,4
17.127203,1.9040748,3
4.789525,19.736835,3
4.694815,19.859047,3
-21.36019,2.9358103,1
9.285743,19.060205,3
-20.000097,14.487309,1
-16.766752,-4.350712,1
-23.288607,11.676582,1
4.6983514,19.849888,3
19.145693,12.204073,3
-13.051928,-9.627124,4
-21.45133,9.723666,1
-4.0588493,-13.287731,4
1.8682761,-25.081156,2
-7.824887,-16.121073,2
1.2305825,1.8366971,4
-24.49009,11.029547,1
15.502764,2.9019194,4
19.14336,12.121284,3
3.153837,3.3164153,4
8.901371,17.494251,3
-16.926893,-2.6284592,1
-5.2511473,-13.80772,4
-15.760316,13.403033,1
12.563354,18.531996,3
14.549726,0.8480898,3
1.070889,-28.327486,2
20.976072,-12.25436,0
-22.962912,9.891366,1
8.2078285,19.07142,3
15.974178,-15.527165,0
17.512722,14.185535,3
6.9350877,1.2797717,4
2.8227656,18.92024,3
14.718891,-16.132305,0
-22.213434,3.1875234,1
-22.801746,8.193819,1
-15.170265,-5.748196,1
8.666183,19.135305,3
19.226835,-13.9930525,0
-11.666117,-7.246075,4
-0.3792862,-24.71863,2
5.126152,-22.21686,2
13.473893,-14.723253,4
-15.341201,-5.707387,0
-16.485388,-4.9891114,1
20.932201,-13.420664,0
-17.210712,14.396051,1
22.65885,-11.405492,0
-18.24814,-2.6806538,1
-16.832186,-4.097703,1
-11.75687,-3.9908895,4
4.8494973,19.206024,3
-18.740372,16.675373,1
16.939535,3.4637573,4
0.22188498,4.963757,4
10.607608,1.4414052,1
-0.07026956,-28.21139,2
16.849707,13.888802,3
19.12889,-15.000088,0
-16.014488,-4.5136843,1
-24.233747,10.681704,1
-3.685972,-13.066863,4
-8.51424,-17.73451,2
0.3781068,-28.276028,2
-18.408016,17.568008,4
-16.463766,14.96175,1
-12.825047,-12.24236,4
17.074377,-14.452467,0
-18.712862,14.639187,1
1.3526973,5.299508,4
