TSNE1,TSNE2,label
23.929277,-13.23498,0
11.845364,8.131439,3
-1.978262,-17.15421,2
2.7333314,-7.3083467,2
-16.260231,10.618824,1
21.883831,-12.5566,0
5.9466367,15.530583,3
-20.319458,0.18121956,0
8.487977,18.820803,3
-21.454634,-0.6815565,1
8.337188,18.794622,3
-21.794767,-1.846418,1
19.760801,-10.021844,0
11.597778,15.304916,3
10.022302,16.646294,3
-22.679655,-10.719988,1
-22.43653,-10.199578,1
-0.42906728,-9.522391,2
-22.687439,-9.855821,1
-22.886963,-10.561696,0
-20.471907,2.6373148,1
-21.270721,2.0443616,1
-22.95056,-5.7728195,1
23.611267,-11.882123,0
-15.886864,13.227769,1
-21.498283,-0.5857344,1
19.62205,-8.910039,1
0.7044822,-6.277044,2
9.078788,7.967987,3
1.5632262,-4.727818,0
1.1033151,-7.4059644,2
8.763124,8.021671,3
-22.77105,-9.359427,1
12.411902,3.709837,3
-1.6806778,-17.493723,2
-23.037714,-6.4293275,1
-21.239248,1.229614,1
1.2924072,-8.066633,2
-22.642954,-6.8945184,1
-21.995628,-8.094657,1
-18.344707,7.503065,1
9.222697,8.326336,3
12.146443,4.8620496,3
12.15091,6.721261,3
22.260536,-8.803102,0
-16.210884,12.632567,1
-21.442604,-0.8209045,1
23.735836,-13.625051,0
-16.643358,12.483549,1
10.189906,18.952322,3
23.651009,-13.717218,2
-16.508005,12.479021,1
1.4540876,-5.062138,0
6.1943073,16.880117,3
-2.094172,-17.215614,2
-22.605198,-6.369998,1
23.992474,-13.166705,0
11.794222,8.224665,3
11.556434,8.612001,3
23.708265,-13.71712,2
10.0265465,16.596012,3
-22.172323,-10.215589,1
19.226526,-8.274913,0
-22.008265,-1.9596174,1
12.336802,3.92285,3
0.90385944,-7.999139,2
-22.808435,-11.064873,0
10.582954,18.23,3
-0.5829601,-13.06756,2
-22.026566,-7.4623523,1
1.4540876,-5.062138,1
12.736633,3.5009484,3
-1.9847656,-17.930565,2
1.548106,-6.7516947,2
-17.507942,9.139376,1
-22.182207,-9.865295,1
-21.11055,7.1968927,1
-15.410871,11.211704,1
-2.300815,-17.734865,2
-23.128542,-6.503485,1
19.7489,-11.318242,0
19.884953,-8.826835,0
1.1677104,-6.80441,2
-1.6501437,-17.672386,2
-0.48769742,-8.73533,2
-0.5559047,-9.643662,2
19.982723,-9.888202,0
-22.949045,-6.0856943,1
-17.810648,8.663284,1
-22.068115,-11.878214,0
22.546133,-9.087175,0
10.074027,18.225245,3
11.757336,8.534552,3
18.045958,-7.7608566,0
11.791696,14.4564085,3
-19.336954,5.5561843,1
-0.40804228,-9.06176,2
-21.406687,-0.43549833,1
-19.914799,4.6219463,1
-21.14209,2.703728,1
-20.541756,3.4358382,1
3.033695,-7.514123,2
-0.48958302,-8.061857,2
-22.521261,-10.546188,1
8.3393345,18.795187,3
11.153177,16.349434,3
1.5781687,-4.686541,0
11.616489,15.376678,3
-22.196995,-7.749302,1
-17.851452,8.502594,1
21.30407,-11.272262,0
-15.518398,11.355322,1
8.839916,8.271145,3
12.286576,4.671566,3
11.569415,8.956324,3
-20.465128,3.0016894,1
-21.213835,2.5269125,1
-20.221565,2.9971638,1
-16.68094,10.782269,1
0.7823901,-8.024293,2
-22.598001,-5.525579,1
-0.2548774,-9.607481,2
20.910362,-11.281298,0
12.798621,3.453125,3
19.844866,-9.419917,0
11.786679,13.132133,3
6.89694,17.782318,3
11.279129,14.861244,3
12.124014,15.746726,3
23.61702,-13.720784,2
-19.664436,5.560034,1
-23.089611,-6.7154717,1
-16.762928,10.718551,1
12.284518,8.947136,3
-0.39374864,-9.899555,2
-22.143879,-12.121622,1
-0.08291789,-12.031832,2
11.659786,9.670181,3
11.735489,9.620253,3
24.027401,-12.906173,0
-20.311115,4.0252852,1
-1.9545373,-17.951994,2
-19.048283,7.023856,1
-20.335278,3.6681247,1
-3.5399337,-16.607079,2
-20.133154,4.495008,1
-17.161854,11.896314,1
-23.0766,-6.8372474,1
20.003244,-11.544752,0
19.232376,-8.533156,0
-21.284624,0.9941577,1
-21.483501,-0.11762729,1
5.9741488,15.485054,3
0.27191004,-6.8533454,2
-22.734512,-11.534594,1
-2.8884354,-16.950874,2
-1.8504589,-18.085514,2
20.575773,-9.082332,1
11.901138,13.182286,3
1.48122,-6.8798485,2
12.828081,3.8562877,3
12.097411,4.954928,3
6.183666,16.915493,3
-20.70493,1.6361983,1
-17.96873,7.8640265,1
-1.3677273,-15.396416,2
12.325434,3.8580632,3
0.31587058,-7.295957,2
20.984226,-10.376282,0
-16.638428,12.238327,1
21.778328,-11.490756,0
-1.71605,-17.861944,2
-15.244033,13.849308,1
18.600609,-8.123344,0
-0.5659635,-13.012819,2
11.483564,15.9054575,3
-20.584581,3.0201209,1
23.773375,-12.050282,0
1.4596554,-6.9826674,2
-16.106178,11.155761,1
21.17886,-12.28312,0
-0.46093088,-9.038046,2
-16.55405,10.257865,1
-21.988771,-2.4402618,1
-22.836153,-10.757989,0
-20.058498,4.438236,1
-0.08880377,-6.9364038,2
-21.426987,2.0313501,1
22.580923,-9.910606,0
22.163477,-10.51258,0
-15.788457,11.682549,1
7.493684,12.639499,3
-1.0424554,-9.414527,2
0.94363135,-7.89689,2
-1.0340347,-9.382227,2
7.4378133,12.652239,3
19.611492,-8.471422,1
23.770891,-13.730152,0
21.17192,-10.466731,0
-0.0075795227,-8.4667845,2
12.17722,15.572784,3
21.691227,-11.551424,0
