WP-00790,,PE0.05ppm,PE0.1ppm,PE0.5ppm,PE1ppm,PE5ppm,PE10ppm,PE50ppm,PE100ppm,PE200ppm
Wavelength,Wavenumber,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed
810.54,400.6,0,0,0,0,0,7.17,0,0.29,59.82
810.68,402.75,0,0,0,0,0,0,0,0,43.76
810.82,404.91,2.91,0,0,0,0,0,0,0,0
810.96,407.06,2.91,0,0,0,0,4.41,0,0,0
811.1,409.21,2.91,0,0,0,0,4.41,0,0,0
811.24,411.36,0,0,0,0,0,4.41,0,0,0
811.38,413.51,0,0,0,0,0,0,0,0,0
811.53,415.66,0,0,0,0,0,0,0,0,0
811.67,417.81,0,0,0,0,0,0,0,0,0
811.81,419.96,0,0,0,0,0,0,0,0,0
811.95,422.11,0,0,0,0,0,0,0,0,0
812.09,424.25,0,0,0,0,0,0,0,0,0
812.23,426.4,0,0,0,0,0,0,0,0,0
812.38,428.54,0,0,0,0,0,0,0,0,0
812.52,430.68,0,0,0,0,0,0,0,0,0
812.66,432.82,0,0,0,0,0,0,0,0,0
812.8,434.97,0,0,0,0,0,0,0,0,0
812.94,437.11,0,0,0,0,0,0,0,0,0
813.08,439.24,0,0,0,0,0,0,0,0,0
813.22,441.38,0,0,0,7.41,0,0,0,0,0
813.36,443.52,0,1.03,0,7.41,0,0,0,0,0
813.51,445.65,0,1.03,0,7.41,0,0,0,0,0
813.65,447.79,2.81,12.27,0,10.73,3.16,7.45,0,0,0
813.79,449.92,2.81,11.24,0,10.73,3.16,7.45,0,0,0
813.93,452.05,2.81,22.87,0,10.73,7.15,8.56,0,0,0
814.07,454.19,0,21.06,0,0,3.99,1.11,0,0,0
814.21,456.32,0,26.28,0,7.88,6.63,1.11,0,0,0
814.35,458.45,0,39.65,0,19,10.09,0,0,0,0
814.49,460.57,0,36.66,0,19.34,10.65,0,0,0,0
814.64,462.7,6.87,37.54,0,20.24,8.01,0,0,0,0
814.78,464.83,6.87,31.84,0,14.9,0.57,0,0,0,0
814.92,466.95,20.85,36.44,0,19.86,7.5,0,0,0,0
815.06,469.08,24.33,54.69,0,19.79,7.5,0,0,0,0
815.2,471.2,24.33,37.92,0,18.69,7.5,0,0,0,0
815.34,473.32,10.36,27.57,0,13.39,0,0,0,0,0
815.48,475.45,0,9.63,0,4.67,0,0,0,0,0
815.62,477.57,18.35,16.35,0,21.72,3.21,0,0,1.56,0
815.76,479.69,40.52,42.59,0,38.58,14.4,22.99,0,1.56,0
815.91,481.8,50.76,60.37,0.55,43.8,15.45,22.99,0,1.56,0
816.05,483.92,46.26,66.79,0.55,42.87,12.25,22.99,0,0,0
816.19,486.04,56.87,76.96,16.59,50.69,9.22,0,0,0,0
816.33,488.15,80.81,90.11,31.58,78.15,32.16,0,0,0,0
816.47,490.27,91.98,96.46,42.37,78.48,52.06,0,0,0,0
816.61,492.38,78.15,71.79,35.8,69.11,43.89,4.15,0,0,0
816.75,494.49,58.43,54.87,20.27,44.82,26.36,4.15,0,0,0
816.89,496.61,49.82,49.04,9.47,23.71,12.56,4.15,0,0,0
817.03,498.72,34.76,62.08,1.52,12.03,20.85,14.43,0,0.33,2.03
817.17,500.83,25.15,65.54,5.97,21.11,26.31,40.22,0,4.47,11.09
817.31,502.93,8.75,49.36,5.97,21.4,20.2,40.22,0,4.47,11.09
817.46,505.04,4.85,27.22,4.46,17.76,11.91,25.79,0,4.14,9.05
817.6,507.15,0,3.34,0,0.29,0,0,0,0,0
817.74,509.25,1.5,28.32,21.26,19.93,5.8,0,0,0,0
817.88,511.36,15.39,48.78,39.15,45.09,16.93,1.38,0,0,0
818.02,513.46,17.99,67.38,61.31,72.81,22.03,19.47,0,0,0
818.16,515.56,16.49,44.35,47.03,52.88,16.23,19.47,0,0,0
818.3,517.66,4.97,40.41,42.14,31.52,5.46,25.26,3.3,0,0
818.44,519.76,2.37,21.81,31.97,3.8,0.36,7.17,3.3,0,0
818.58,521.86,2.37,19.86,24.99,22.32,0.36,7.17,3.3,0,0
818.72,523.96,8.28,9.29,41.06,27.33,13.24,0,0,0,0
818.86,526.06,8.28,9.29,39.96,36.64,13.24,0,0,0,0
819,528.16,8.28,34.44,50.01,27.59,20.61,2.22,19.85,8.44,7.96
819.14,530.25,5.62,48.59,38.69,35.3,19.82,10.62,29.61,8.44,20.7
819.28,532.35,7.71,63.55,34.77,29.09,29.92,20.72,45.48,8.44,37.71
819.42,534.44,7.71,57.77,44.46,37.52,50.16,18.5,39.11,0,36.21
819.57,536.53,11.15,51.3,49.1,47.59,45.03,18.61,64.63,0,38.86
819.71,538.62,22.47,48.7,66.58,56.53,58.09,8.5,59.59,1.64,21.85
819.85,540.71,22.47,45.41,75.35,50.77,36.11,15.46,71.43,1.64,15.39
819.99,542.8,13.42,37.77,74.06,37.32,34.09,28.68,76.82,1.64,10.08
820.13,544.89,0,41.77,66.72,45.51,17.03,41.26,114.09,28.12,60.31
820.27,546.98,0,25.7,59.33,35.68,17.27,49.41,136.92,56.07,128.97
820.41,549.06,0,16.36,38.24,22.54,11.96,39.63,144.08,70.46,177.59
820.55,551.15,0,0,24.08,2.31,18.45,46.7,119.69,57.98,207.27
820.69,553.23,0,0,2.96,0,12.59,44.97,81.74,55.52,186.35
820.83,555.32,0,0,2.96,0,12.59,48.64,64.13,43.32,155.71
820.97,557.4,0,0,8.44,0,0,28.98,67.19,30.02,117.69
