WP-00790,,PMMA0.5ppm-1,PMMA0.5ppm-2,PMMA0.5ppm-3,PMMA1ppm-1,PMMA1ppm-2,PMMA1ppm-3,PMMA5ppm-1,PMMA5ppm-2,PMMA5ppm-3,PMMA10ppm-1,PMMA10ppm-2,PMMA10ppm-3,PMMA50ppm-1,PMMA50ppm-2,PMMA50ppm-3,PMMA100ppm-1,PMMA100ppm-2,PMMA100ppm-3,PMMA200ppm-1,PMMA200ppm-2,PMMA200ppm-3
Wavelength,Wavenumber,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed
804.71,311.35,1109.7,1084.92,1033.88,2357.12,2394.7,2345.82,1435.63,1387.54,1424.22,819.98,726.19,699.15,0,0,0,0,0,0,0,0,0
804.86,313.55,972.81,978,922.98,2056.38,2093.95,2034.48,1262.96,1260.61,1225.21,698.65,638.34,611.75,0,0,0,0,0,0,0,0,0
805,315.75,829.5,870.99,797.99,1754.51,1798.1,1752.02,1084.85,1075.25,1017.09,556.89,556.4,535.24,0,0,0,0,0,0,0,0,0
805.14,317.94,710.28,745.09,701.76,1490.71,1513.63,1499.61,931.82,868.29,860.72,474.2,476.85,449.47,0,0,0,0.2,0,0,0,0.85,0
805.28,320.14,600.49,639.95,613.28,1254.95,1269.88,1286.59,766.54,718.41,704.75,374.26,376.04,356.09,0,0,0,0.2,0,0,0,0.85,0
805.43,322.33,533.79,533.92,526.56,1071.25,1083.52,1087.95,637.34,614.93,603.53,331.73,294.64,277.13,0,0,0,8.42,4.63,0,12.61,0.85,1.59
805.57,324.52,449.97,460.09,443.38,936.38,924.34,924.14,525,504.3,499.16,286.06,254.08,219.01,0,0,0,8.22,4.63,0,40.5,22.42,1.59
805.71,326.71,411.25,388.04,375.96,816.24,808.88,797.73,421.07,440.09,419.53,228.46,221.93,187.29,0,3.8,23.17,24.31,13.36,8.1,57.39,28.51,23.87
805.85,328.9,347.18,343.65,318.52,728.71,714.7,701.26,353.45,381.5,372.54,201.84,170.75,163.88,0,8.72,23.17,36.5,16.71,26.86,59.76,41.68,41.37
805.99,331.09,302.55,278.37,275.18,618.57,633.25,601.18,281.25,355.33,323.3,168.3,112.31,134.54,17.77,18.09,29.21,70.9,28.31,26.86,31.88,23.49,41.37
806.14,333.28,248.91,244.74,232.16,509.72,563.43,539.38,266.02,326.8,289.36,136.07,104.83,118.16,17.77,14.43,10.5,78.56,30.47,18.76,14.98,30.65,38.66
806.28,335.46,221.48,208.34,186.01,418.38,471.44,455.42,223.99,267.45,236.29,73.66,89.22,84.98,25.36,12.42,15.38,58.16,32.05,0,6.06,32.04,28.86
806.42,337.65,184.15,183.37,152.97,363.76,415.53,375.86,217.72,215.86,216.29,29.71,116.68,84.87,22.16,6.62,12.2,52.53,50.27,30.86,28.65,49.9,68.7
806.56,339.83,170.93,178.85,119.69,324.55,355.68,308.37,188.53,175.35,153.06,9.39,78.22,93.18,27.35,18.38,7.74,43.88,55.46,55.72,28.65,53.57,69.83
806.7,342.02,139.48,146.77,99.85,294.4,317.9,275.94,147.11,153.26,115.57,9.39,89.52,72.21,21.92,30.69,2.86,60.67,52.29,55.72,41.48,58.38,60.55
806.85,344.2,96.75,118.36,54.33,241.54,257.08,226.8,83.99,110.47,43.02,0,42.46,43.24,7.35,51.44,0,32.52,22.48,24.86,18.89,60.55,46.19
806.99,346.38,50.74,78.07,32.58,179.09,229.67,200.06,45.64,45.19,49.26,0,24.15,0.85,4.59,52.42,5.77,51.68,6.39,35.06,65.66,61.87,36.32
807.13,348.56,50.83,74.21,54.6,121.38,218.67,165.05,65.05,44.58,53.93,19.33,18.26,0.85,39.06,76.96,37.07,43.82,36.05,57.48,105.5,71.35,83.15
807.27,350.74,57.31,81.14,66.73,98.07,209.07,140.46,73.55,56.06,58.4,36.42,20.43,14.13,59.67,95.4,87.7,83.94,52.2,84.05,160.28,68.32,110.58
807.42,352.92,43.52,74.85,60.63,94.5,162.22,78.93,55,56.06,36.99,36.42,19.49,14.13,74.61,102.74,91.33,60.04,70.93,65.53,141.1,68.11,144.84
807.56,355.1,9.72,42.98,31.75,74.78,106.55,71.92,30.15,31.84,10.05,17.08,2.18,14.13,60.57,108.77,90.98,75.58,76.33,57.1,113.2,74.52,153.71
807.7,357.27,3.6,27.59,11.86,62.37,68.52,57.21,14.71,34.93,17.09,0,6.31,0,83,87.92,74.09,70.66,83.94,77.22,118.69,96.65,155.64
807.84,359.45,6.91,15.17,8.79,44.25,61.79,54.19,14.71,34.93,17.09,0,6.31,3.75,100.55,104.55,94.33,90.62,82.1,82.88,119.92,130.85,151.62
807.98,361.62,14.11,15.17,16.24,69.1,46.04,23.41,0,26.11,15.78,0,6.31,3.75,90.25,85.64,132.05,81.14,85.15,73.43,149.87,131.77,164.01
808.12,363.8,13.76,0,10.08,45.81,29.5,15.2,4.22,0,4.26,0,0,3.75,59.31,80.1,130.13,49.75,80.3,36.08,89.6,94.33,172.36
