WP-00790,,PMMA0.1ppm,PMMA0.5ppm,PMMA1ppm,PMMA5ppm,PMMA10pmm,PMMA50ppm,PMMA100ppm,PMMA200ppm
Wavelength,Wavenumber,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed
810.54,400.6,0,0,0,11.54,4.58,49.37,184.48,301.15
810.68,402.75,0,0,0,0,4.58,44.07,153.71,310.17
810.82,404.91,0,0,0,0,0,36.75,118.06,270.47
810.96,407.06,0,0,0,0,0,47.09,109.87,276.71
811.1,409.21,0,0,0,0,0,40.76,111.03,253.79
811.24,411.36,0,0,0,0,0,33.56,100.88,286.38
811.38,413.51,0,0,0,0,0,39.84,104.97,285.73
811.53,415.66,0,0,0,0,0,127.06,111.2,345.38
811.67,417.81,0,0,0,0,0,184.64,98.46,373.91
811.81,419.96,0,0,0,0,0,225.51,64.42,370.66
811.95,422.11,0,0,0,0,0,205.21,46.64,330.85
812.09,424.25,0,0,0,0,0,190.66,52.67,326.04
812.23,426.4,0,0,0,0,0,219.76,103.08,367.48
812.38,428.54,0,0,0,0,0,253.51,108.2,393.49
812.52,430.68,0,0,0,0,0,287.47,110.26,409.98
812.66,432.82,0,0,0,0,0,309.67,115.59,420.28
812.8,434.97,0,0,0,0,0,318.44,118.2,437.74
812.94,437.11,0,0,0,0,0,290.34,86.79,397.92
813.08,439.24,0,0,0,0,0,240.73,28.36,311.83
813.22,441.38,0,0,0,0,0,169.94,0,200.8
813.36,443.52,0,0,0,0,0,141.31,0,154.85
813.51,445.65,0,0,0,0,0,141.09,0,203.2
813.65,447.79,0,0,0,0,0,216.49,50.14,286.75
813.79,449.92,0,0,0,0,0,269.2,55.59,357.18
813.93,452.05,0,0,0,0,0,288.67,55.59,322.6
814.07,454.19,0,0,0,0,0,272.79,5.45,261.91
814.21,456.32,0,0,0,0,0,275.37,0,205.88
814.35,458.45,0,0,0,0,0,287.73,0,220.21
814.49,460.57,0,0,0,0,0,246.22,0,223.89
814.64,462.7,0,0,0,0,0,184.07,0,152.82
814.78,464.83,0,0,0,0,0,141.52,0,89.22
814.92,466.95,0,0,0,0,0,178.68,0,69.89
815.06,469.08,0,0,0,0,0,266.34,0,135.6
815.2,471.2,0,0,0,0,0,295.62,0,164.48
815.34,473.32,0,0,0,0,0,314.75,0,201.43
815.48,475.45,0,0,0,0,0,349.18,0,244.88
815.62,477.57,0,0,0,0,0,431.38,0,350.29
815.76,479.69,0,0,0,0,0,457.33,0,361.34
815.91,481.8,0,0,0,0,0,412.96,0,300.92
816.05,483.92,0,0,0,4.19,0,303.36,0,144.45
816.19,486.04,0,0,0,4.19,0,165.34,0,50.11
816.33,488.15,0,0,0,32.72,0,117.9,0,2.88
816.47,490.27,0,0,0,52.83,0,165.37,0,74.13
816.61,492.38,0,0,0,70.81,0,329.89,0,178.91
816.75,494.49,0,0,0,54.53,0,384.34,0,234.14
816.89,496.61,0,0,0,41.01,0,436.07,0,242.51
817.03,498.72,0,0,0,43.79,0,492.31,6.32,286.9
817.17,500.83,0,0,0,87.33,0,645.51,57.27,446.11
817.31,502.93,0,0,0,142.63,0,708.01,66.14,548.79
817.46,505.04,0,0,0,128.02,0,661.83,59.83,453.63
817.6,507.15,0,0,0,72.22,0,446.85,8.87,236.31
817.74,509.25,0,0,0,6.15,0,312.76,0,54.01
817.88,511.36,0,0,0,0.04,0,256.11,0,0
818.02,513.46,0,0,0,0.04,0,369.81,0,88.29
818.16,515.56,0,0,0,20.98,0,437.97,0,167.25
818.3,517.66,0,0,0,48.38,15.72,524.93,9.86,295.5
818.44,519.76,0,0,0,85.8,16.39,565.37,9.86,328.15
818.58,521.86,0,0,0,143.4,16.39,603.41,9.86,357.56
818.72,523.96,0,0,0,179.43,1.64,552.16,0,333.18
818.86,526.06,0,0,0,187.13,15.82,543.19,0,340.23
819,528.16,0,0,0,178.7,38.26,552.06,0,328.29
819.14,530.25,0,0,0,215.6,37.3,584.56,0,322.45
819.28,532.35,0,3.04,0,272.5,51.21,552.69,0,270.41
819.42,534.44,0,3.04,0,312.17,41.51,524.91,0,290.93
819.57,536.53,0,25.48,0,341.4,47.57,501.66,0,287.81
819.71,538.62,0,27.71,0,362.18,36.21,452.96,0,255.71
819.85,540.71,0,33.67,0,341.51,51.69,457.48,0,228.97
819.99,542.8,0,34.2,34.92,339.63,98.9,547.45,24.32,295.83
820.13,544.89,0,115.21,95.02,448.75,177.07,748.1,117.2,488.17
820.27,546.98,0,169.03,168.76,533.21,257.18,941.43,227.84,715.34
820.41,549.06,0,215.78,235.91,602.79,319.7,1078.9,338.97,900.45
820.55,551.15,0,222.46,262.46,558.48,304.95,1140.51,368.97,993.51
820.69,553.23,0,234.5,289.19,533.41,288.04,1127.05,368.59,977.63
820.83,555.32,0,245.8,252,501.45,264.21,1047.08,314.75,909.37
820.97,557.4,0,227.68,228.2,429.29,277.44,957.28,279.44,812.41
821.11,559.48,0,225.27,198.6,406.03,224.19,856.42,220.76,708.19
821.25,561.56,0,221.78,191.4,372.23,216.02,812.08,207.29,629.94
821.39,563.64,0,211.87,235.94,380.56,196.92,809.25,190.36,624.01
821.53,565.72,0,235.32,233.67,420.45,243.34,829.06,235.41,659.5
821.67,567.8,0,220.81,218.92,398.59,221.61,811.85,241.77,649.42
821.81,569.87,0,228.43,179.47,445.42,230.52,765.73,238.24,581.23
821.95,571.95,0,205.41,171.22,383.16,192.28,698.6,174.02,472.47
822.09,574.02,0,221.76,181.49,402.81,210.57,664.13,118.13,400.16
822.23,576.09,0,233.69,154.18,306.6,182.61,598.22,51.03,340.86
822.37,578.17,41.95,231.2,151.62,309.52,176.73,501.21,18.61,217.24
822.51,580.24,41.95,181.73,98.42,274.36,96.39,285.98,0,99.25
822.65,582.31,41.95,117.4,57.78,274.89,40.49,108.45,0,0.39
822.79,584.38,0,105.1,0,222.68,0,0,0,0
822.93,586.45,0,138.7,0,221.28,5.57,0,0,0
823.07,588.51,0,198.67,0,238.47,8.87,3.45,0,0
823.21,590.58,0.8,217.54,24.12,281.47,30.71,78.79,0,42.05
823.35,592.64,0.8,196.77,35.59,291.06,84.11,272.56,2.1,143.06
823.49,594.71,0.8,188.8,35.59,323.36,149.17,480.18,43.23,331.92
823.63,596.77,0,165.74,83.07,344.14,235.32,683.42,119.7,557.84
823.77,598.83,6.43,170.26,122.98,368.41,273.23,743.62,186.38,692.48
823.91,600.89,39.58,152.35,133.73,356.5,278.24,769.78,215.29,752.85
824.05,602.95,69.63,134.57,120.73,344.3,229.9,712.14,227.67,676.18
824.19,605.01,71.67,98.48,92.61,269.7,179.44,663.58,197.72,595.03
824.33,607.07,38.52,75.3,106.93,253.26,176.42,639.01,194.69,527.95
824.47,609.13,10.65,61.03,49.01,220.98,210.17,660.09,213.56,582.61
824.61,611.18,16.32,59.99,53.54,241.87,219.02,716.84,282,666.7
824.75,613.24,23.95,39.87,56.17,223.58,211.98,751.92,331.36,723.87
824.89,615.29,21.77,24.31,55.48,189.12,199.38,730.67,334.63,708.14
825.03,617.35,7.62,14.2,27.7,204.61,194.66,692.89,319.26,667.28
825.17,619.4,10.4,3.27,0,173.04,177.17,627.89,264.59,588.3
825.31,621.45,10.4,0,0,173.31,107.79,587.25,202.5,472.77
