WP-00790,,PS0.1ppm,PS0.5ppm,PS1ppm,PS5ppm,PS10ppm,PS50ppm,PS100ppm,PS200ppm
Wavelength,Wavenumber,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed
810.54,400.6,0,0,0,134.37,144.73,569.92,329.01,212.81
810.68,402.75,0,0,0,105.05,148.55,469.8,321.17,241.21
810.82,404.91,0,0,0,80.18,54.83,420.91,247.32,227.91
810.96,407.06,0,0,0,50.56,27.36,366.24,171.12,202.59
811.1,409.21,0,0,0,25.82,0,299.82,77.24,143.24
811.24,411.36,0,0,0,0,0,196.87,23.41,106.1
811.38,413.51,0,0,0,0,0,124.95,4.84,89.06
811.53,415.66,0,0,0,8.39,0,67.19,0,126.89
811.67,417.81,0,0,0,8.39,0,45.48,0,108.17
811.81,419.96,0,0,0,8.39,0,21.51,0,112.67
811.95,422.11,0,0,0,0,0,0,0,57.73
812.09,424.25,0,0,0,0,0,0,0,49.42
812.23,426.4,0,0,0,0,0,0,0,18.76
812.38,428.54,0,0,0,0,0,0,0,23.75
812.52,430.68,0,0,0,0,0,0,0,24.25
812.66,432.82,0,0,0,0,0,0,0,60.59
812.8,434.97,0,0,0,0,0,0,0,38.1
812.94,437.11,0,0,0,0,0,0,0,37.6
813.08,439.24,0,0,0,0,0,0,0,1.26
813.22,441.38,0,0,0,0,0,0,0,0
813.36,443.52,0,0,0,0,0,0,0,0
813.51,445.65,0,0,0,0,0,0,0,0
813.65,447.79,0,0,0,0,0,0,0,0
813.79,449.92,0,0,0,0,0,0,0,0
813.93,452.05,0,0,0,0,0,0,0,0
814.07,454.19,0,0,0,0,0,0,0,0
814.21,456.32,0,0,0,0,0,0,0,0
814.35,458.45,0,0,0,0,0,0,0,0
814.49,460.57,0,0,0,0,0,0,0,0
814.64,462.7,0,0,0,0,0,0,0,0
814.78,464.83,0,0,0,0,0,0,0,0
814.92,466.95,0,0,0,0,0,0,0,0
815.06,469.08,0,0,0,0,0,0,0,0
815.2,471.2,0,0,0,0,0,0,0,0
815.34,473.32,0,0,0,0,0,0,0,0
815.48,475.45,0,0,0,0,0,0,0,0
815.62,477.57,0,0,0,0,0,0,0,0
815.76,479.69,0,0,0,0,0,0,0,0
815.91,481.8,0,0,0,0,0,0,0,0
816.05,483.92,0,0,0,0,0,0,0,0
816.19,486.04,0,0,0,0,0,0,0,0
816.33,488.15,0,0,0,0,0,0,0,0
816.47,490.27,0,0,0,0,0,0,0,0
816.61,492.38,0,0,0,0,0,0,0,0
816.75,494.49,0,0,0,0,0,0,0,0
816.89,496.61,0,0,0,0,0,0,0,0
817.03,498.72,0,0,0,0,0,0,0,0
817.17,500.83,0,0,0,42.71,0,0,0,6.36
817.31,502.93,0,0,0,43.34,0,0,0,6.36
817.46,505.04,0,0,0,43.34,0,0,0,6.36
817.6,507.15,0,0,0,0.63,0,0,0,0
817.74,509.25,0,0,0,0,0,0,0,0
817.88,511.36,0,0,0,0,0,0,0,0
818.02,513.46,0,0,0,0,0,0,0,0
818.16,515.56,0,0,0,0,0,0,0,0
818.3,517.66,0,0,0,7.22,0,0,0,0
818.44,519.76,0,4.18,0,7.22,0,0,0,0
818.58,521.86,0,4.18,0,16.7,0,0,0,0
818.72,523.96,0,17.7,0,9.48,0,0,0,0
818.86,526.06,0,13.51,0,9.48,0,0,0,0
819,528.16,0,13.51,0,0,0,0,0,0
819.14,530.25,0,0,0,0,0,0,0,0
819.28,532.35,0,34.49,0,0,0,0,0,0
819.42,534.44,0,49.94,0,2.92,0,0,0,0
819.57,536.53,0,85.53,0,2.92,0,0,0,0
819.71,538.62,0,91.93,0,2.92,0,0,0,0
819.85,540.71,0,76.48,0,0,0,0,0,0
819.99,542.8,0,65.12,0,4.12,0,0,0,0
820.13,544.89,0,25.5,0,62.01,2.23,75.51,19.67,82.51
820.27,546.98,0,25.5,0,87.41,18.55,157.63,148.45,200.9
820.41,549.06,0,1.27,0,125.63,38.27,221.65,247.99,362.55
820.55,551.15,0,0,0,78.36,43,262.27,331.83,423.2
820.69,553.23,0,0,0,104.61,43.85,258.69,290.52,436.51
820.83,555.32,0,0,0,93.24,38.92,261.7,223.16,327.62
820.97,557.4,0,24.7,0,110.83,31.96,203.86,132.99,263.06
821.11,559.48,0,24.7,0,59.19,14.79,143.28,45.53,144.96
821.25,561.56,0,24.7,0,49.92,0,98.2,13.34,106.88
821.39,563.64,0,4.79,0,35.04,0,76.28,0,108.81
821.53,565.72,0,14.16,0,45.86,0,98.65,0,120.21
821.67,567.8,0,14.16,0,24.15,0,115.74,0,106.18
821.81,569.87,0,37.42,0,22.93,0,90.24,0,25.65
821.95,571.95,0,36.22,4.36,12.1,0,49.92,0,0.64
822.09,574.02,0,36.22,22.25,12.1,2.31,10.87,0,0
822.23,576.09,0,13,35.71,0,2.31,0,0,0
822.37,578.17,0,39.55,31.35,0,2.31,0,0,0
822.51,580.24,0,91.34,13.47,0,0,0,0,0
822.65,582.31,1.98,155.55,23.59,0,0,0,0,0
822.79,584.38,45.83,193.75,51.57,0,0,0,0,0
822.93,586.45,74.99,146.85,74,0,0,0,0,0
823.07,588.51,73.01,121.5,88.13,0,0,0,0,0
823.21,590.58,29.15,60.6,85.68,0,0.72,0,0,0
823.35,592.64,0,95.27,94.08,0,14.33,0,0,0
823.49,594.71,5.33,73.83,56.36,0,19.94,0,0,0
823.63,596.77,5.33,68.73,47.6,0,34.38,0,0,16.09
823.77,598.83,5.33,29.19,16.77,8.73,42.83,2.16,0,23.82
823.91,600.89,0,6.93,16.77,38.75,37.22,2.47,0,29.14
824.05,602.95,0,31.88,0,49.14,22.06,16.62,17.56,20.03
824.19,605.01,0,31.88,0,40.41,0,14.46,17.56,30.43
824.33,607.07,0,31.88,0,24.76,38.92,44.68,17.56,43.56
824.47,609.13,0,29,5.52,14.36,51.21,76.5,52.84,116.78
824.61,611.18,0,29,5.52,24.97,62.78,121.81,126.2,216.18
824.75,613.24,0,29,5.52,45.67,35.4,149.95,149.77,336.66
824.89,615.29,0,0,6.07,85.6,24.5,136.27,171.96,398.11
825.03,617.35,0,0,6.07,78.36,33.65,121.31,198.91,473.42
825.17,619.4,0,0,6.07,49.75,22.12,85.31,228.83,497.48
825.31,621.45,0,0,8.38,9.81,32.82,100.94,185.08,471.97
825.45,623.5,0,2.34,38.78,6.45,20.58,82.3,84.77,331.99
825.59,625.55,0,2.34,63.62,0,58.15,59.63,31.28,184.33
825.73,627.6,0,25.11,58.93,0,90.71,37.49,14.17,75.76
825.87,629.64,0,22.77,93.57,30.08,115.46,39.22,25.26,52.18
826.01,631.69,17.14,28.87,76.56,48.97,138.73,102.38,63.98,91.92
826.15,633.73,17.14,9.72,98.1,97.11,173.09,146.74,125.43,148.87
826.29,635.78,20,9.72,41.66,97.97,213.97,170.97,173.12,168.15
826.43,637.82,20.82,42.67,86.22,128.7,258.73,197.75,247.04,216.43
826.57,639.86,20.82,75.89,95.02,160.85,266.91,198.3,297.09,246.59
826.7,641.9,17.96,92.72,132.28,215.42,327.75,291.86,365.82,328.19
826.84,643.94,0,89.71,121.11,234.75,338.35,308.86,377.03,320.69
