wavenumber,PLA 100ppm-1,PLA 100ppm-2,PLA 100ppm-3,PLA 200ppm-1,PLA 200ppm-2,PLA 200ppm-3
376.82,453.42,464.51,500.38,578.63,535.05,449.45
378.98,449.52,452.58,476.02,520.06,492.93,467.06
381.15,434.53,433.21,474.9,489.56,500.54,473.39
383.32,419.08,419.71,430.32,499.52,485.23,452.77
385.48,401.61,414.19,430.41,478.37,509.78,452.98
387.64,389.9,405.74,391.93,477.22,477.31,453.14
389.8,420.51,396.61,431.44,467.97,483.37,469.13
391.96,457.77,400.13,438.28,476.94,496.29,461.29
394.12,526.8,438.4,482.22,483.92,505.84,461.73
396.28,512.71,495.87,452.72,495.35,492.16,434.9
398.44,510.27,501.99,465.54,458.01,467.33,431.57
400.6,434.6,453.21,436.48,414.67,412.48,383.85
402.75,413.48,418.63,430.64,370.12,359.05,384.19
404.91,366.36,370.7,398.47,355.46,303.81,327.38
407.06,360,372.21,361.4,328.8,299.55,339.17
409.21,317.2,322.27,310.9,296.6,302.38,302.7
411.36,276.29,317.2,280.29,251.17,238.96,325.95
413.51,301.71,297.79,252.69,246.98,208.08,274.04
415.66,296.24,311.81,273.54,238.45,195.5,259.42
417.81,307.55,304.61,227.84,214.27,226.9,225.41
419.96,228.97,301.18,198.92,181.42,210.27,215.69
422.11,224.06,244.75,137.35,165.46,154.85,196.15
424.25,158.83,174.99,113.79,156.4,127.95,176.11
426.4,142.16,137.11,105.8,135.12,98.81,169.13
428.54,106.61,108.68,99.27,95.52,121.99,141.45
430.68,127.95,141.8,101.97,115.69,86.91,134.82
432.82,122.08,121.37,127.8,117.87,109.82,104.15
434.97,113.22,111.61,116.64,101.94,88.59,80.33
437.11,65.89,51.96,79.07,47.15,82.03,28.65
439.24,30.14,15.08,12.74,5.07,31.84,7.11
441.38,0,0,0,0,0,0
443.52,0,0,0,0,0,0
445.65,0,0,0,0,0,0
447.79,0,17.75,0,4.36,0,0
449.92,0,17.75,0,4.36,0,0
452.05,0,17.75,0,4.36,0,0
454.19,0,0,0,0,0,0
456.32,0,0,0,0,0,0
458.45,0,0,0,0,0,0
460.57,0,0,0,0,0,0
462.7,0,0,0,0,0,0
464.83,0,0,0,0,0,0
466.95,0,0,0,0,0,0
469.08,0,0,0,0,0,0
471.2,0,0,0,0,0,0
473.32,0,0,0,0,0,0
475.45,0,0,0,0,0,0
477.57,0,0,0,0,0,0
479.69,0,0,0,0,0,0
481.8,0,0,0,0,0,0
483.92,0,0,0,0,0,0
486.04,0,0,0,0,0,0
