wavenumber,PMMA 10ppm-1,PMMA 10ppm-2,PMMA 10ppm-3,PMMA 50ppm-1,PMMA 50ppm-2,PMMA 50ppm-3,PMMA 100ppm-1,PMMA 100ppm-2,PMMA 100ppm-3,PMMA 200ppm-1,PMMA 200ppm-2,PMMA 200ppm-3
376.82,162.36,230.48,209.82,332.21,384.6,364.37,306.86,313.72,284.78,351.18,350.44,305.34
378.98,130.5,125.05,152.21,294.31,334.14,280.54,249.46,218.57,200.84,239.62,218.33,216.54
381.15,124.66,84.28,144.3,262.18,288.1,240.13,224.47,178.15,147.97,175.57,152.7,178.54
383.32,122.75,124.07,76.83,254.42,258.42,229.06,193.81,183.38,129.75,123,117.51,172.3
385.48,123.11,115.83,109.11,262.7,223.77,245.67,160.15,151.93,130.19,152.9,110.11,174.81
387.64,119.39,106.18,108.66,281.34,220.47,259.96,149.49,167.47,161.27,147.28,149.49,174.09
389.8,132.05,117.91,132.08,288.13,202.98,268.7,206.61,200.43,195.45,158.25,187.75,171.9
391.96,127.31,113.24,116.62,268.96,234.17,232.46,202.39,257.71,228.95,127.69,199.79,201.8
394.12,117.72,158.39,89.64,252.38,223.94,200.12,257.72,268.2,238.31,174.84,187.17,216.68
396.28,126.29,167.37,86.48,181.38,194.29,182.67,245.61,239.23,246.22,228.01,214.55,226.21
398.44,142.9,144.39,76.04,189.2,189.11,155.68,254.26,240.01,245.88,207.43,193.15,170.61
400.6,107.92,79.01,56.54,185.38,172.27,136.03,191.92,186.11,190.86,119.33,144.85,98.43
402.75,54.18,18.51,67.75,235.03,194.24,152.5,170.67,195.64,169.26,61.15,85.78,101.45
404.91,40.15,32.56,87.01,205.83,154.66,142.75,161.2,155.25,155.75,80.89,87.27,78.67
407.06,49.35,26.38,82.32,160.1,131.55,129.13,147.83,120.96,165.99,74.46,57.63,95.09
409.21,62.08,40.34,80.67,130.52,93.91,84.62,127.56,73.75,146.66,48.03,43.55,30.3
411.36,56.86,40.53,57.08,91.73,76.05,75.23,113.39,51.3,126.75,0.88,44.03,22.18
413.51,75.02,50.04,72.2,103.09,69,90.62,117.66,105.61,130.59,28.36,81.75,46.2
415.66,103.33,62.43,100.82,101.36,69.51,74.24,138.13,145.78,126.63,77.79,122.45,47.29
417.81,94.03,64.87,122.82,101.77,74.48,57.31,141.38,181.37,85.42,91.44,103.36,68.1
419.96,77.56,112.14,142.31,60.76,56.02,59.94,110.83,149.16,56.08,63.96,74.28,21.9
422.11,52.02,137.35,118.75,43.77,44.91,82.24,66.27,101.26,35.04,34.46,67.97,20.81
424.25,96.87,130.95,122.24,46.26,44.93,116.98,63.14,59.44,69.42,20.81,48.49,0
426.4,121.11,108.93,92.78,49.88,50.73,79.18,63.44,64.37,121.21,26.01,72.28,33.04
428.54,108.5,114.73,57.89,34.74,47.77,96.26,67.62,87.17,135.2,5.19,32.42,38.7
430.68,58.39,134.7,35.09,18.05,68.05,69.24,109,83.49,150.72,51.65,52.26,105.93
432.82,23.27,124.95,31.9,23.52,110.67,75.88,124.69,89.45,140.21,47.83,53.81,126.96
434.97,12.33,71.24,31.9,10.55,101.18,28.31,113.82,48.5,118.78,77.43,53.81,152.2
437.11,1.82,28.67,12.37,10.55,51.6,18.99,38.56,39.1,66.57,30.98,33.98,84.97
439.24,10.67,3.67,15.9,0,0,2.42,2.59,4.12,13.06,29.6,0,30.89
441.38,10.67,0,15.9,0,0,0,0,0,0,0,0,0
443.52,9.99,0,17.88,0,0,0,0,0,0,0,0,0
445.65,22.37,9.42,1.98,27.42,0,0,12.63,0,0,7.72,0,0
447.79,55.9,29.95,44.44,35.13,11.56,36.04,53.74,80.71,32.69,34.81,63.02,13.58
449.92,72.95,29.95,43.14,35.13,11.56,37.51,104.36,117.77,91.77,37.36,69.32,30.42
452.05,51.73,20.53,74.05,7.7,11.56,37.51,111.54,126.52,136.28,29.64,109.64,30.42
454.19,18.2,0,31.59,0,0,1.47,100.37,49.83,113.1,27.15,46.61,16.85
456.32,0,13.51,32.68,0,0,0,51.06,12.78,71.78,33,86.54,0.71
458.45,14.38,15.57,2.16,0,14.45,0,49.5,28.36,50.87,33,46.23,7.28
460.57,14.38,15.57,2.16,0,14.45,0,23.58,42.24,48.25,8.4,46.23,7.28
462.7,14.38,2.05,0.39,0,14.45,0,22.28,42.24,30.49,0,0,6.57
464.83,0,0,0,0,0,0,4.02,17.91,6.9,0,0,0
466.95,0,0,0,0,0,0,0,4.23,0,0,0,0
469.08,0,0,0,0,0,0,0,32.24,0,0,0,0
471.2,0,0,0,0,0,0,0,32.24,0,0,0,0
473.32,0,0,0,0,0,0,0,28.01,0,0,0,0
475.45,0,0,0,0,0,0,0,0,0,0,0,0
477.57,0,0,0,0,0,0,0,0,0,0,0,0
479.69,0,0,0,0,0,0,0,0,0,0,0,0
481.8,0,0,0,0,0,0,0,0,0,0,0,0
483.92,0,0,0,0,0,0,0,0,0,0,0,0
486.04,0,0,0,0,0,0,0,0,0,0,0,0
488.15,0,0,0,0,0,0,0,0,0,0,0,0
490.27,0,0,0,0,0,0,0,0,0,0,0,0
492.38,0,0,0,0,0,0,0,0,0,0,0,0
494.49,0,0,0,0,0,0,0,0,0,0,0,0
496.61,0,0,0,0,0,0,0,0,0,0,0,0
498.72,0,0,0,0,0,0,0,0,0,0,0,0
500.83,0,0,16.28,6.04,0,0,0,0.62,0,0,27.92,0
502.93,0,0,16.28,6.04,0,0,0,0.62,0,0,27.92,0
505.04,0,0,16.28,6.04,0,0,0,0.62,0,0,27.92,0
507.15,0,0,0,0,0,0,0,0,0,0,0,0
509.25,0,0,0,0,0,0,0,0,0,0,0,0
511.36,0,0,0,0,0,0,0,0,0,0,0,0
513.46,0,0,0,0,0,0,0,0,0,0,0,0
515.56,0,0,0,0,0,0,0,0,0,0,0,0
517.66,0,0,0,0,0,0,0,0,0,0,0,0
519.76,0,0,0,0,0,0,0,0,0,0,0,0
521.86,0,0,0,0,0,0,0,0,0,0,0,0
523.96,0,0,0,0,0,0,0,0,0,0,0,0
526.06,0,0,0,0,0,0,0,0,0,0,0,0
528.16,0,0,0,0,0,0,0,0,0,0,0,0
530.25,0,0,0,0,0,0,0,0,0,0,0,0
532.35,0,0,0,0,0,0,0,0,0,0,0,0
534.44,0,0,0,0,0,0,0,0,0,0,0,0
536.53,0,0,0,0,0,0,0,0,0,0,0,0
538.62,0,0,0,0,0,0,0,0,0,0,0,0
540.71,0,0,0,0,0,0,0,0,0,0,0,0
542.8,0,0,0,0,0,0,0,0,0,0,0,0
544.89,0,0,0,0,0,0,19.25,12.38,3.55,37.79,0,56.03
546.98,34.26,0,0,0,0,0,80.16,69.46,54.16,117.24,129.74,150.9
549.06,34.26,0,0,8.8,11.29,0,163.41,137.25,105.52,209.75,251.66,226.68
551.15,34.26,0,13.5,8.8,26.51,0,199.12,222.73,156.76,274.28,357.16,273.4
553.23,0,0,13.5,8.8,26.51,0,178,232.04,159.84,269.13,373.69,256.74
555.32,0,0,13.5,0,15.22,6.98,115.39,201.19,153.08,287.32,320.85,259.38
557.4,0,0,0,0,0,6.98,86.95,109.51,119.83,239.5,255.33,240.64
559.48,0,0,0,0,0,6.98,47.16,43.11,66.14,208.46,129.22,164.98
561.56,0,0,0,0,0,0,26.52,6.17,21.53,97.76,94.54,139.05
563.64,0,0,0,0,0,0,10.93,11.99,35.1,86.26,138.6,86.86
565.72,0,0,0,0,0,0,10.93,30.4,61.32,127.86,173.75,139.4
567.8,0,0,0,0,0,0,10.93,30.4,61.32,143.11,214.43,106.46
