wavenumber,PS 50ppm-1,PS 50ppm-2,PS 50ppm-3,PS100ppm-1,PS 100ppm-2,PS 100ppm-3,PS 200ppm-1,PS 200ppm-2,PS 200ppm-3
376.82,2656.09,2611.53,2661.53,4709.95,4565.42,4475.1,4004.69,2811.61,2609.43
378.98,2557.35,2472.85,2484.2,4606,4418.38,4329.89,3906.38,2699.28,2525.46
381.15,2483.73,2422.28,2323.29,4478.41,4283.3,4175.23,3771.28,2598.39,2450.21
383.32,2372.89,2308.15,2199.78,4314.97,4153.91,4066.82,3594.25,2512.79,2421.44
385.48,2285.29,2260.22,2112.11,4187.42,4015.98,3923.43,3505.06,2470.89,2350.27
387.64,2196.9,2125.49,2085.6,4049.08,3876.15,3858.68,3409.01,2449.03,2287.68
389.8,2138.38,2096.28,2066.24,4003.93,3819.39,3714.91,3325.41,2406.85,2222.67
391.96,2066.17,2001.36,2016.47,3910.71,3748.46,3657.87,3191.69,2329.79,2166.66
394.12,1995.82,1965.28,1917.51,3871.31,3713.22,3561.08,3055.05,2237.38,2129.19
396.28,1884.88,1877.26,1846.56,3755.91,3569.22,3478.09,2922.36,2151.85,2070.48
398.44,1819.11,1816.72,1755.07,3643.93,3413.54,3353.99,2787.37,2095.29,2030.97
400.6,1718.61,1678.78,1644.47,3448.14,3215.61,3183.86,2619.17,2013.79,1920.74
402.75,1634.5,1561.19,1509.2,3231.96,3031.17,3014.47,2482.85,1928.46,1833.58
404.91,1493.42,1448.63,1377.59,2994.36,2856.88,2842.45,2285.73,1794.62,1651.79
407.06,1362.37,1345.75,1312.62,2785.32,2656.72,2636.8,2093.78,1664.26,1532.05
409.21,1217.01,1182.54,1199.29,2531.5,2449.66,2425.16,1869.99,1515.36,1357.65
411.36,1093.67,1065.33,1107.92,2333.52,2197.03,2193.51,1720.33,1340.58,1247.28
413.51,994.66,990.44,987.84,2122.37,1991.78,1984.82,1625.45,1204.91,1138.91
415.66,938.21,941.75,924.27,1949.6,1805.81,1812.31,1498.56,1089.22,1102.75
417.81,831.42,865.71,850.98,1732.94,1691.19,1641.39,1362.4,1036.62,1038.24
419.96,697.5,734.52,752.84,1502.61,1521.13,1489.28,1235.52,928.97,928.92
422.11,621.66,629.73,635.74,1279.8,1285.17,1272.17,1112.78,796.51,754.01
424.25,579.57,519.34,521.68,1047.5,1075.95,1068.04,972.84,656.2,629.5
426.4,545,449.12,424.08,917.13,943.56,920.33,818.11,566.82,545.81
428.54,440.93,398.39,356.61,799.34,862.65,814.34,732.92,556.69,474.95
430.68,386.48,345.25,337.71,743.54,745.32,734.51,716.35,503.92,432.67
432.82,249.96,316.71,320.37,620.06,631.88,612.14,654.71,465.14,364.63
434.97,165.93,259.3,261.8,499.1,492.2,507.12,511.55,345.59,278.38
437.11,58.71,172.02,157,340.64,394.58,397.75,338.85,241.58,157.92
