wavenumber,PE 5ppm-1,PE 5ppm-2,PE 5ppm-3,PE 10ppm-3,PE 10ppm-2,PE 10ppm-1,PE 50ppm-1,PE 50ppm-2,PE 50ppm-3,PE 100ppm-1,PE 100ppm-2,PE 100ppm-3,PE 200ppm-1,PE 200ppm-2,PE 200ppm-3
376.82,1399.57,1410.98,1410.98,2283.76,2283.76,2686.76,577.14,595.58,555.96,907,1251.76,1330.37,1121.67,1330.28,1247.77
378.98,1249.6,1361.36,1361.36,2217.51,2217.51,2465.25,574.95,533.35,523.77,832.7,1233.58,1210.1,1051.38,1205.5,1141.55
381.15,1218.56,1304.03,1304.03,2172.53,2172.53,2324.68,573.77,488.47,488.93,775.9,1179.88,1111.3,1047.14,1105.44,1067.7
383.32,1221.7,1269.24,1269.24,2110.74,2110.74,2211.65,526.36,446.7,459.53,739.78,1093.82,1033.46,990.44,1062.92,1023.37
385.48,1232.91,1237.87,1237.87,2096.67,2096.67,2166.69,537.28,430.61,426.81,693.23,1081.64,1028.15,997.48,1056.14,1011.1
387.64,1188.5,1226.92,1226.92,2025.65,2025.65,2091.15,500.87,450.86,430.1,696.91,1070.32,1042.7,942.94,1027.77,1017.23
389.8,1155.71,1243.93,1243.93,2010.57,2010.57,2086.89,509.67,463.68,452.62,731.03,1070.75,1056.31,969.69,1024.7,1026.97
391.96,1158.07,1217.8,1217.8,1974.64,1974.64,2068.48,490.26,490.94,505.92,706.49,1031.48,1039.22,932.63,983.14,1007.22
394.12,1135.59,1207.18,1207.18,1949.53,1949.53,2096.22,512.61,490.32,504,708.94,1073.51,1046.4,925.08,977.1,976.29
396.28,1095.26,1155.07,1155.07,1922.88,1922.88,2009.79,536.07,490.49,498.87,658.05,1045.83,1044.21,900.38,892.24,931.2
398.44,1054.64,1104.69,1104.69,1845.26,1845.26,1942.74,525.53,492.32,406.74,671.03,1034.99,1036.17,872.41,867.43,906.49
400.6,957.26,1011.59,1011.59,1711.87,1711.87,1770.94,475.54,427.05,344.83,581.43,897.54,949.86,781.05,780.25,844.04
402.75,903.69,907.65,907.65,1513.93,1513.93,1616.61,394.65,393.89,314.03,516.82,827.71,885.81,678.86,663.23,740.41
404.91,801.7,825.31,825.31,1385.22,1385.22,1459.52,331.97,339.62,301.46,498.29,725.93,808.48,586.29,533.15,629.72
407.06,734.95,767.9,767.9,1260.06,1260.06,1309.67,267.51,312.58,257.78,480.5,644.2,702.84,495.32,458.35,530.95
409.21,637.66,697.97,697.97,1158.66,1158.66,1240.61,240.15,272.31,205.87,474.01,556.74,630.8,423.18,402.04,479.65
411.36,589.16,629.85,629.85,1011.03,1011.03,1112.99,191.9,218.82,181.07,383.49,476.21,535.68,329.86,376.22,402.51
413.51,516.99,585.1,585.1,919.7,919.7,1036.7,184.3,218.66,220.94,361.81,440.16,543.03,296.59,348.44,350.72
415.66,450.94,546.15,546.15,831.46,831.46,952.18,208.8,206.28,209.59,310.08,402.37,532.29,258.48,343.81,300.74
417.81,394.33,449.66,449.66,756.62,756.62,874.42,212.07,201.67,176.67,290.3,397.83,493.8,248.51,315.34,250.89
419.96,355.28,372.08,372.08,663.97,663.97,791.19,192.21,163.95,134.64,167.7,328.65,389.65,156.54,196.14,169.29
422.11,313.88,277.17,277.17,555.26,555.26,638.93,100.34,122.55,100.27,76.06,250.6,239.96,91.87,117.96,95.38
424.25,220.79,238.28,238.28,427.51,427.51,500.97,49.8,90.82,93.89,12,152.35,142.06,19.72,22.25,35.73
426.4,215.03,170.05,170.05,329.69,329.69,390.63,26.57,96.42,52.51,29.97,120.56,64.42,19.72,22.25,13.05
428.54,136.58,155.83,155.83,237.81,237.81,287.25,27.67,92.34,44.46,29.97,66.13,43.75,0,0,0
430.68,91.05,120.15,120.15,153.75,153.75,235.71,56.63,80.82,24.95,17.97,46.47,20.34,0,0,0
432.82,3.56,74.13,74.13,94.62,94.62,146.11,59.59,52.28,31.44,0,8.41,20.34,0,0,0
434.97,0,30.53,30.53,41.02,41.02,85.09,49,26.42,13.64,0,8.41,0,0,0,0
437.11,0,4.33,4.33,20.66,20.66,26.12,14.95,20.14,9.19,0,0,0,0,0,0
439.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
441.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
443.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
445.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
447.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
449.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
452.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
454.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
456.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
458.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
460.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
462.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
464.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
466.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
469.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
471.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
473.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
475.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
477.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
479.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
481.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
483.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
486.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
488.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
490.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
492.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
494.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
496.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
498.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
502.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
505.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
507.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
509.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
511.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
513.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
515.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
517.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
521.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
523.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
526.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
528.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
530.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
532.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
534.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
536.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
538.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
540.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
542.8,0,0,0,0,0,0,0,0,0,5.77,0,0,0,0,0
544.89,0,0,0,0,0,0,48.06,30.39,33.98,87.61,88.19,87.93,76.89,37.2,48.86
546.98,0,0,0,0,0,0,148.92,105.97,100.36,189.07,250.22,266.34,196.16,132.2,114.78
549.06,0,0,0,0,0,0,270.04,181.51,190.58,293.16,410.21,463.02,303.25,257.1,186.49
551.15,0,0,0,0,0,0,305.9,232.49,205.89,327.47,511.18,542.57,352.79,337.23,238.68
553.23,0,0,0,0,0,0,281.28,221,214.06,353.35,510.02,538.67,308.82,318.85,293.68
555.32,0,0,0,0,0,0,226.63,199.82,141.87,347.89,447.52,445.4,235.14,218.74,242.63
557.4,0,0,0,0,0,0,157.29,129.61,125.66,264.77,286.66,308.45,108.71,126.91,141.58
559.48,0,0,0,0,0,0,87.82,65.52,51.11,173.54,148.34,141.03,33.4,50.29,20.66
561.56,0,0,0,0,0,0,21.34,26.82,45.06,90.64,104,84.25,0,25.49,0
563.64,0,0,0,0,0,0,20.7,65.65,25.22,87.29,169.86,150,22.88,61.25,0
565.72,0,0,0,0,0,0,13.93,104.43,51.1,118.49,209.58,232.62,36.64,61.25,0
567.8,0,0,0,0,0,0,13.93,88.77,39.11,97.13,163.73,223.31,36.64,61.25,0
569.87,0,0,0,0,0,0,12.98,64.97,40.3,84.88,74.96,134.42,13.76,0,0
571.95,0,0,0,0,0,0,12.98,26.2,14.41,17.57,20.61,44.72,0,0,0
574.02,0,0,0,0,0,0,12.98,26.2,14.41,17.43,13.33,7.39,0,0,0
576.09,0,0,0,0,0,0,0,0,0,0,7.93,0,0,0,0
578.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
580.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
582.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
584.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
586.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
588.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
590.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
592.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
594.71,0,0,0,0,0,0,0,0,0,0,0,2.25,0,0,0
596.77,0,0,0,0,0,0,17.3,12.23,0,7.55,52.04,17.96,5.21,0,0
598.83,0,0,0,0,0,0,42.08,23.34,18.04,42.52,100.92,130.44,5.21,0,0
600.89,0,0,0,0,0,0,92.88,37.52,18.04,101.79,195.51,248,55.16,3.36,0
602.95,0,0,0,0,0,0,107.73,38.88,51,148.48,208.76,353.07,72.83,3.36,0
605.01,0,0,0,0,0,0,82.95,27.78,32.96,123.25,185.41,289.87,72.83,3.36,0
607.07,0,0,0,0,0,0,54.41,36.09,60.59,111.22,166.25,283.18,22.89,0.03,0
609.13,0,0,0,0,0,0,96.4,80.59,84.41,205.05,276.93,382.67,64.92,38.86,70.65
611.18,0,0,0,0,0,0,205.63,180.18,172.24,342.4,497.12,594.01,195.47,127.03,204.5
613.24,0,0,0,1.78,1.78,0,305.69,274.08,240.79,503.28,655.83,770.52,319.31,234.82,296.2
