wavenumber,PLA1ppm-1,PLA1ppm-2,PLA1ppm-3,PLA5ppm-1,PLA5ppm-2,PLA5ppm-3,PLA10ppm-1,PLA10ppm-2,PLA10ppm-3,PLA50ppm-1,PLA50ppm-2,PLA50ppm-3,PLA100ppm-1,PLA100ppm-2,PLA100ppm-3,PLA200ppm-1,PLA200ppm-2,PLA200ppm-3,PLA300ppm-1,PLA300ppm-2,PLA300ppm-3,PLA400ppm-1,PLA400ppm-2,PLA400ppm-3,PLA500ppm-1,PLA500ppm-2,PLA500ppm-3,PLA600ppm-1,PLA600ppm-2,PLA600ppm-3
376.82,147.49,97.99,145.83,282.54,173.93,222.31,271.98,376.66,364.77,315.96,310.85,352.52,151.64,185.72,201.49,137.52,178.66,132.14,37.22,126.43,59.3,59.08,94.98,70.82,471.93,545.29,476.45,540.7,370.92,490.48
378.99,178.15,152.38,135.56,257.58,214.21,233.33,278.58,326.2,341.02,289.49,320.65,319.84,147.6,191.59,196.97,153.38,168.91,113.28,58.48,82.4,47.49,56.41,54.51,55.42,460.91,497.82,455.19,480.44,412.36,418.48
381.15,189.95,185.91,170.08,245.42,254.95,226.82,289.33,287.56,316.44,271.15,344.58,300.29,153.91,183.5,199.15,164.21,172.46,112.36,73.75,69.03,59.02,79.42,32.07,46.71,456.86,461.95,453.55,423.16,427.77,378.44
383.32,156.88,170.9,178.07,245.74,250.15,243.1,280.92,286.77,296.69,275.93,305.3,290.88,173.87,158.38,180.98,151.6,157.91,117.3,72.31,75.61,68.85,106.08,42.27,69.32,476.68,423.28,470.43,408.78,418.72,378.25
385.48,128.39,174.47,178.97,230.31,269.59,234.62,284.8,291.58,297.9,293.96,318.25,246.37,182.03,152.14,186.68,152.78,169.82,161.33,85.72,87.03,103.87,130.27,72.34,103.13,437.94,389.36,480.73,392.87,415.78,401.83
387.64,131.15,166.95,166.79,258.8,239.26,232.05,288.28,293.35,306.06,316.56,279.11,237.1,181.39,165.11,185.92,160.09,168.51,181.11,110.31,133.96,129.74,113.66,104.95,148.15,411.3,390.85,470.44,398.09,407.61,403.49
389.8,184.49,163.35,188.18,251.55,201.17,224.06,310.38,302.73,331.83,300.73,289.87,245.08,187.73,182.39,202.15,175.64,189.44,211.1,129.2,146.17,172.58,112.7,140.55,167.16,400.55,395.2,478.35,387.22,395.99,408.03
391.96,197.51,147.1,202.6,246.99,178.76,214.07,292.2,271.83,323.66,282.59,268.31,273.73,210.71,195,221.03,198.76,204.28,181.95,150.72,186.34,186.73,118.39,143.79,169.83,455.68,410.75,439.79,372.93,374.6,416.77
394.12,213.78,144.76,193.59,233.35,205.25,244,288.96,291.54,312.77,280.68,267.64,282.96,226.69,196.93,263.57,191.12,227.35,219.35,170.87,188.14,206.51,160.4,149.03,159.48,482.7,411.84,440.76,367.21,361.09,418.38
396.28,192.51,150.21,206.71,231.51,218.19,217.38,260.89,270.75,263.04,271.23,251.43,264.65,220.64,198.18,252.43,194.4,243.67,202.95,195.33,190.55,199.26,160.05,143.58,149.79,440.27,388.12,399.27,343.08,353.47,386.86
