wavenumber,PMMA1ppm-1,PMMA1ppm-2,PMMA1ppm-3,PMMA5ppm-1,PMMA5ppm-2,PMMA5ppm-3,PMMA10ppm-1,PMMA10ppm-2,PMMA10ppm-3,PMMA50ppm-1,PMMA50ppm-2,PMMA50ppm-3,PMMA100ppm-1,PMMA100ppm-2,PMMA100ppm-3,PMMA200ppm-1,PMMA200ppm-2,PMMA200ppm-3
376.82,0,14.51,0,0,7.61,0,117.63,115.5,146.15,68.01,147.43,98.82,174.66,198.04,250.9,106.34,137.39,170.03
378.99,1.01,7.34,0,0,3.89,0,120.5,109.84,156.08,103.36,91.79,97.22,156.82,180.37,186.96,105.26,131.14,168.71
381.15,1.01,1.76,0,0,0,0,126.81,110.63,147.11,111.06,62.83,72.65,129.98,156.38,174.72,95.16,137.88,145.72
383.32,5.09,1.76,0,0,0,0,100.32,103.96,125.69,78.52,50.63,61.18,141.56,147.8,173.21,57.5,106.99,143.44
385.48,4.08,0,3.03,0,0,0,98.04,107.84,99.48,61.39,54.85,31.82,102.21,132.62,156.46,62.81,103.79,118.2
387.64,4.08,0,7.1,0,9.94,2.85,86.19,128.16,112.37,42.92,61.71,63.45,124.17,134.07,114.68,56.04,89.2,142.9
389.8,0,0,7.1,0,22.9,2.85,125,124.81,139.24,77.64,76.11,75.96,124.31,152.04,129.43,96.02,130.09,157.09
391.96,0,0,4.07,0,22.9,2.85,133.45,153.77,158.44,68.91,89.05,90.69,187.65,178.87,178.04,118.88,164.79,178.45
394.12,15.17,12.67,23.62,0,15.2,27.79,172.56,150.73,169.29,99.71,107.19,84.31,195.52,229.88,232.18,174.9,210.99,175.97
396.28,15.17,25.37,23.62,0,2.24,27.79,170.09,171.8,148.9,98.16,113.31,94.58,210.02,230.53,252.63,186.85,206.79,168.77
398.44,27.48,25.37,34.4,0,15.6,40.03,190.05,173.96,148.61,126.26,113.76,122.53,193.5,223.16,238.39,187.07,199.2,186.51
400.6,21.64,12.69,10.78,0,13.36,12.24,157.32,156.11,118.31,115.91,93.07,112.69,193.84,180.64,209.35,148.12,141.43,195.76
402.75,21.64,4.73,10.78,2.38,13.36,29.34,177.81,143.48,128.54,94.99,80.82,102.64,193.94,162.21,182.74,134.21,136.71,170.74
404.91,9.33,17.98,6.94,2.38,0,20.97,145.27,130.5,123.43,82.95,82.45,78.47,177.57,173.64,163.67,121.47,128.16,140.22
407.06,0,17.98,6.94,2.38,0,20.97,142.38,115.84,130.64,54.78,86.29,67.86,158.06,169.6,160.13,133.55,143.11,111.54
409.21,0,13.25,6.94,0,0,3.87,115.48,121.18,105.83,37.93,63.27,35.73,91.43,132.09,128.47,115.14,92.63,109.37
411.36,0,0,0,0,0,0,103.55,103.83,91.01,13.2,28.35,19.58,58.67,71.79,130.68,67.34,58.92,93.05
413.51,0,0,0,0,0,0,106.05,109.58,93.28,28.12,19.27,16.43,89.55,72.46,104.54,46.05,53.15,84.35
415.66,0,0,0,3.72,5.94,0,94.09,114.88,115.09,53.38,37.04,42.48,128.53,102.56,108.84,61.81,100.05,121.72
417.81,0,0,0,3.72,5.94,0,106.11,117.49,124.55,56.3,60.14,56.01,163.72,151.86,105.68,100.3,119.85,151.61
419.96,0,0,0,3.72,5.94,0,105,124.65,131.88,51.99,62.17,57.67,151.34,158.59,110.62,120.63,115.06,141.57
422.11,0,0,0,0,0,0,106.98,93.24,114.97,32.01,54.85,38.66,166.61,158.64,110.22,110.25,92.23,91.5
424.25,0,0,0,3.29,13.37,9.87,97.82,82.7,95.6,27.15,37.65,27.45,155.32,118.12,85.93,98.6,70.46,55.5
426.4,0,0,0,3.29,13.37,15.4,98.99,84.82,82.55,18.84,43.01,40.13,146.57,119.47,83.18,103.47,80.21,98.36
428.54,0,0,0,4.89,13.37,15.4,100.9,64.03,80.59,13.55,35.37,46.16,133.14,111.48,95.1,104.97,95.92,122.85
430.68,0,0,0,2.55,0.85,5.53,93.24,68.67,71.39,34.25,62.39,56.54,141.71,135.48,123.67,113.09,113.26,158.99
432.83,0.92,7.13,0,5.7,20.6,31.24,101.68,59.08,72.28,41.62,50.76,61.27,158.61,128.47,149.25,102.84,109.9,146.42
