wavenumber,PS_PLA 10ppm-3,PS_PLA 10ppm-2,PS_PLA 10ppm-1,PS_PLA 50ppm-1,PS_PLA 50ppm-2,PS_PLA 50ppm-3,PS_PLA 100ppm-1,PS_PLA 100ppm-2,PS_PLA 100ppm-3,PS_PLA 200ppm-1,PS_PLA 200ppm-2, PS_PLA 200ppm-3
376.82,654,614.13,610.51,522.51,629.97,625.54,611.52,576.5,560.66,880.48,882.13,937.93
378.98,588.46,592.28,577.23,518.32,521.61,498.73,530.55,493.43,530.97,804.64,763.08,839.02
381.15,561.67,558.53,543.38,448.83,447.95,461.29,430.77,462.57,473.49,750.35,654.57,813.65
383.32,542.95,514.85,512.28,354.34,386.29,426.52,371.42,427.77,419.76,699.82,601.78,668.38
385.48,540.2,526.81,522.81,349.42,374.87,442.3,355.7,388.61,389.68,685.61,608.97,671.43
387.64,525.29,541.63,545.21,384.28,382.9,429.2,413.52,375.98,394.16,690.63,687.35,630.71
389.8,560.69,612.1,577.58,449.04,442.18,481.67,497.01,433.33,472.63,758.31,765.05,766.34
391.96,606.29,641.78,611.17,511.27,524.59,494.92,604.38,548.9,559.66,857.23,876.62,875.53
394.12,701.52,716.1,672.74,576.07,614.59,523.43,693.75,688.46,692.04,964.84,967.52,1007.09
396.28,702.63,691.31,714.86,600.02,633.39,562.73,724.7,798.26,739,1028.69,1032.65,1072.22
398.44,729.72,688.5,720.97,573.55,628.13,593.62,731.67,827.4,787.32,1029.25,1017.12,1093.07
400.6,663.14,635.37,679.08,512.01,513.12,577.76,681.66,747.56,753.34,960.51,950.94,982.62
402.75,625.21,583.89,612.52,469.73,445.39,527.17,616.69,631.41,674.07,905.82,872.45,868.55
404.91,534.72,551.2,553.08,418.5,377.7,450.61,553.54,571.08,590.3,802.62,818.44,761.65
407.06,501.45,498.41,506.53,392.43,374.52,394.89,494.33,532.35,518.14,757.38,788.35,701.38
409.21,451.96,463.73,466.45,349.08,341.05,369.54,497.95,518.77,469.82,675.65,729.09,663.61
411.36,416.48,368.41,429.04,296.67,294.88,320.14,455.97,497.59,456.9,655.65,653.21,621.92
413.51,418.23,360.99,413.87,324.45,316.22,325.25,497.62,531.02,495.95,654.96,631.95,660.21
415.66,437.1,385.7,403.17,389.62,368.62,331.42,532.45,625.64,591.2,713.8,704.53,714.36
417.81,432.99,424.1,387.17,434.42,427,367.55,617.37,622.33,647.86,749.4,780.51,749.94
419.96,354.34,386.64,324.3,361.63,383.12,355.75,576.82,582.22,623.41,697.54,749.02,662.74
422.11,264.83,281.66,250.9,235.92,277.99,279.69,473.15,438.64,508.17,545.23,605.39,531.75
424.25,165.01,208.04,147.88,175.51,186.17,193.27,343.58,331.16,358.04,384.7,446.85,385.22
426.4,97.55,127.13,88.56,167.75,155.66,149.16,344.78,282.12,295.69,314.29,376.08,336.13
428.54,92.34,125.14,63.84,194.53,198.7,177.58,413.33,338.41,318.36,359.23,410.3,343.07
430.68,162.51,121.2,120.83,216.96,241.06,259.65,510,457.15,393.49,434.63,500.63,436.14
432.82,197.16,136.42,148.64,253.16,278.52,277.15,502.91,478.12,417.54,460.61,484.52,468.79
434.97,149.44,90.14,120.59,193.23,189.2,202.2,405.52,372.12,298.28,327.95,349.09,328.47
437.11,61.98,43.59,55.64,112.44,104.29,89.41,212.01,188.42,154.56,166.32,156.71,149.34
439.24,0,0,0,12.29,3.7,7.82,74.74,53.51,18.15,25.47,37.81,7.31
441.38,0,0,0,0,0,0,0,0,0,0,0,0
443.52,0,0,0,0,0,0,0,0,0,0,0,0
445.65,0,0,0,0,0,0,0,0,0,0,0,0
447.79,0,0,0,0,0,13.61,45.34,16.17,20.09,0,0,0
449.92,0,0,0,0,0,13.61,45.34,16.17,20.09,0,0,0
452.05,0,0,0,0,0,13.61,45.34,16.17,20.09,0,0,0
454.19,0,0,0,0,0,0,0,0,0,0,0,0
456.32,0,0,0,0,0,0,0,0,0,0,0,0
458.45,0,0,0,0,0,0,0,0,0,0,0,0
460.57,0,0,0,0,0,0,0,0,0,0,0,0
462.7,0,0,0,0,0,0,0,0,0,0,0,0
464.83,0,0,0,0,0,0,0,0,0,0,0,0
466.95,0,0,0,0,0,0,0,0,0,0,0,0
469.08,0,0,0,0,0,0,0,0,0,0,0,0
471.2,0,0,0,0,0,0,0,0,0,0,0,0
473.32,0,0,0,0,0,0,0,0,0,0,0,0
475.45,0,0,0,0,0,0,0,0,0,0,0,0
477.57,0,0,0,0,0,0,0,0,0,0,0,0
479.69,0,0,0,0,0,0,0,0,0,0,0,0
481.8,0,0,0,0,0,0,0,0,0,0,0,0
483.92,0,0,0,0,0,0,0,0,0,0,0,0
486.04,0,0,0,0,0,0,0,0,0,0,0,0
488.15,0,0,0,0,0,0,0,0,0,0,0,0
490.27,0,0,0,0,0,0,0,0,0,0,0,0
492.38,0,0,0,0,0,0,0,0,0,0,0,0
494.49,0,0,0,0,0,0,0,0,0,0,0,0
496.61,0,0,0,0,0,0,0,0,0,0,0,0
498.72,0,0,0,0,0,0,5.62,0,0,0,0,0
500.83,1.28,8.85,0.32,54.51,28.5,59.03,96.27,102.8,71.04,49.9,97.84,81.86
502.93,1.28,8.85,0.32,54.51,28.5,59.03,114.05,126.47,71.04,49.9,97.84,81.86
505.04,1.28,8.85,0.32,54.51,28.5,59.03,108.43,126.47,71.04,49.9,97.84,81.86
507.15,0,0,0,0,0,0,17.78,23.67,0,0,0,0
509.25,0,0,0,0,0,0,0,0,0,0,0,0
511.36,0,0,0,0,0,0,0,0,0,0,0,0
513.46,0,0,0,0,0,0,0,0,0,0,0,0
515.56,0,0,0,0,0,0,0,0,0,0,0,0
517.66,0,0,0,0,0,0,0,0,0,0,0,0
519.76,0,0,0,0,0,0,0,0,0,0,0,0
521.86,0,0,0,0,0,0,0,0,0,0,0,0
523.96,0,0,0,0,0,0,0,0,0,0,0,0
526.06,0,0,0,0,0,0,0,0,0,0,0,0
528.16,0,0,0,0,0,0,0,0,0,0,0,0
530.25,0,0,0,0,0,0,0,0,0,0,0,0
532.35,0,0,0,0,0,0,0,0,0,0,0,0
534.44,0,0,0,0,0,0,0,0,0,0,0,0
536.53,0,0,0,0,0,0,0,0,0,0,0,0
538.62,0,0,0,0,0,0,0,0,0,0,0,0
540.71,0,0,0,0,0,0,0,0,0,0,0,0
542.8,0,0,0,0,0,0,0,15.56,10.72,0,0,0
544.89,95.89,98.57,62.79,139.27,153.97,176.82,263.16,275.78,269.73,230.67,224.39,214.86
546.98,267.37,242.35,212.79,393.39,410.16,426.88,686.84,720.56,646.28,643.67,660.49,616.08
549.06,458.95,431.52,390.16,673.87,676.07,726.03,1125.85,1167.48,1105.8,1094.81,1167.78,1057.81
551.15,547.13,533.58,502.19,846.5,783.1,821.83,1358.73,1362.5,1297.07,1351.12,1419.21,1281.54
553.23,550.95,543.61,505.53,813.08,758.76,808.91,1354.14,1334.04,1333.21,1338.29,1398.84,1242.14
555.32,418.51,409.73,413.62,667.73,616.16,649.73,1176.54,1149.24,1126.68,1141.11,1177.44,1046.38
557.4,262.17,235.26,287.47,449.11,431.29,458.94,860.93,883.42,860.47,796.92,843.35,762.95
559.48,121.35,111.67,179.52,290.35,264.61,283.67,576.09,626.37,609.7,542.49,560.01,523.94
561.56,127.29,109.84,155.99,279.32,258.66,240.14,546.58,581.98,557.6,480.39,461.66,451.94
563.64,189.09,190.54,196.34,354.48,317.91,300.46,664.52,637.69,637.28,601.07,569.74,534.7
565.72,231.1,226.45,231.89,424.17,384.01,377.97,766.23,723.19,736.41,660.18,652.92,619.24
567.8,169.76,211.68,184.44,366.16,304.76,349.11,707.51,646.58,678.77,587.86,575.32,534.35
569.87,111.52,123.02,95.42,223.23,227.25,217.34,514.81,500.98,518.15,369.21,375.73,337.13
571.95,35.03,56.89,14.48,91.61,95.98,77.95,332.01,275.29,289.77,164.35,173.02,129.76
574.02,31.29,18.2,0,25.51,57.88,10.38,158.83,118.6,135.81,44.81,63.09,40.7
576.09,0,0,0,0,0,0,53.17,19.08,32.68,0,12.87,0
578.17,0,0,0,0,0,0,0,0,0,0,0,0
580.24,0,0,0,0,0,0,0,0,0,0,0,0
582.31,0,0,0,0,0,0,0,0,0,0,0,0
584.38,0,0,0,0,0,0,0,0,0,0,0,0
586.45,0,0,0,0,0,0,0,0,0,0,0,0
588.51,0,0,0,0,0,0,0,0,0,0,0,0
