wavenumber,PS_PMMA-50ppm-3,PS_PMMA-50ppm-2,PS_PMMA-50ppm-1,PS_PMMA-100ppm-1,PS_PMMA-100ppm-2,PS_PMMA-100ppm-3,PS_PMMA-200ppm-1,PS_PMMA-200ppm-2,PS_PMMA-200ppm-3
498.72,0,0,0,0,0,0,0,0,0
500.83,0,0,0,0,0,0,0,0,0
502.93,0,0,0,0,0,0,0,0,0
505.04,0,0,0,0,0,0,0,0,0
507.15,0,0,0,0,0,0,0,0,0
509.25,0,0,0,0,0,0,0,0,0
511.36,0,0,0,0,0,0,0,0,0
513.46,0,0,0,0,0,0,0,0,0
515.56,0,0,0,0,0,0,0,0,0
517.66,0,0,0,0,0,0,0,0,0
519.77,0,0,0,0,0,0,0,0,0
521.86,0,0,0,0,0,0,0,0,0
523.96,0,0,0,0,0,0,0,0,0
526.06,0,0,0,0,0,0,0,0,0
528.16,0,0,0,0,0,0,0,0,0
530.25,0,0,0,0,0,0,0,0,0
532.35,0,0,0,0,0,0,0,0,0
534.44,0,0,0,0,0,0,0,0,0
536.53,0,0,0,0,0,0,0,0,0
538.62,0,0,0,0,0,0,0,0,0
540.71,0,0,0,0,0,0,0,0,0
542.8,0,0,0,0,0,0,0,0,0
544.89,43.72,24.13,8.14,0,9.21,16.92,0,0,0
546.98,117.01,99.22,65.97,67.15,78.83,103.3,0,0,0
549.06,204.09,198.5,151.72,142.57,183.43,181.37,0,40.99,18.37
551.15,240.91,271.15,228.24,260.6,298.5,286.56,24.78,70.36,54.97
553.23,228.73,254.14,250.75,278.56,334.63,295.82,24.78,70.36,54.97
555.32,176.77,177.01,181.48,231.46,265.04,269.35,24.78,29.37,36.59
557.4,108.58,97.32,117.3,132.53,140.76,155.37,0,0,0
559.48,47.47,42.84,41.34,48.55,35.01,59.74,0,0,0
561.56,25.27,20.7,42.15,20.23,11.69,8.14,0,0,0
563.64,23.74,56.32,49.95,34.12,33.6,36.3,0,0,0
565.72,50.44,70.71,68.19,63.84,59.74,51.54,0,0,0
567.8,37.52,70.71,50.9,63.84,48.05,51.54,0,0,0
569.87,26.71,41.65,22.62,30.84,26.14,15.24,0,0,0
571.95,0,23.65,0,0,0,0,0,0,0
574.02,0,23.65,0,0,0,0,0,0,0
576.09,0,0,0,0,0,0,0,0,0
578.17,0,0,0,0,0,0,0,0,0
580.24,0,0,0,0,0,0,0,0,0
582.31,0,0,0,0,0,0,0,0,0
584.38,0,0,0,0,0,0,0,0,0
586.45,0,0,0,0,0,0,0,0,0
588.51,0,0,0,0,0,0,0,0,0
590.58,0,0,0,0,0,0,0,0,0
592.64,0,0,0,0,0,0,0,0,0
594.71,0,0,0,0,0,0,0,0,0
596.77,28.83,16.85,17.21,60.22,43.94,15.39,0,0,0
598.83,38.49,55.24,51.02,113.74,87.57,67.16,0,8.35,10.19
600.89,75.44,82.63,61.19,161.36,162.01,124.42,0,8.35,16.13
602.95,59.71,96.04,78.73,156.4,186.21,170.33,0,8.35,16.13
605.01,51.31,57.64,44.93,123.46,154.74,118.9,0,0,5.94
607.07,38.34,62.8,67.87,111.29,147.71,125.92,0,7.85,0
609.13,84.68,106.95,112.14,144.78,166.02,172.27,23.29,52.47,86.57
611.18,171.9,183.76,204.94,233.83,306.89,322.18,100.6,147.49,188.58
613.24,286.33,271.65,291.95,364.11,408.3,446.63,250.9,263.33,345.97
615.29,349.86,322.63,323.72,445.82,492.83,523.52,378.95,397.78,437.52
617.35,363.03,366.27,333.13,513.19,503.34,547.74,459.83,447.06,501.53
619.4,333.52,362.22,321.53,496.21,497.52,502.61,433.2,444.83,502.99
621.45,291,327.49,294.58,435.57,428.02,439.47,362.39,359.07,432.9
623.5,215.35,235.63,230.83,270.8,289.06,287.88,228.28,232.67,293.46
625.55,106.46,119.24,122.3,132.01,126.05,149.27,104.61,111.22,134.62
627.6,26.01,28.59,38.47,22.19,24.59,29.64,24.09,17.9,26.58
629.64,0,23.23,9.21,23.93,11.14,31.22,0,1.11,8.31
631.69,0,28.7,56.37,33.98,51.05,64.45,0,1.29,35.96
633.73,55.93,55.74,102.46,74.04,109.72,119.99,19.42,38.58,101.3
635.78,95.93,55,117.14,113.39,167.88,148.17,74.2,77.45,171.25
637.82,175.34,138.13,157.04,216.27,225.25,228.23,204.37,192.65,289.83
639.86,208.55,206.79,191.46,298.35,302.48,291.47,331.87,295.15,367.36
641.9,269.64,284.33,260.09,373.96,372.24,369.92,404.01,399.97,460.17
