wavenumber,PE 5ppm-1,PE 5ppm-2,PE 5ppm-3,PE 10ppm-1,PE 10ppm-2,PE 10ppm-3,PE 50ppm-1,PE 50ppm-2,PE 50ppm-3,PE 100ppm-1,PE 100ppm-2,PE 100ppm-3,PE 200ppm-1,PE 200ppm-2,PE 200ppm-3
376.82,1449.76,837.68,809.57,918.72,469.2,469.66,247.05,275.66,191.52,502.22,494.07,591.26,288.82,283.5,214.98
378.98,1454.85,890.48,827.15,945.95,475.22,462.38,240.57,240.38,233.07,529.34,521.3,553.64,260.82,242.76,203.44
381.15,1465.41,928.3,854.07,980.86,473.48,463,238.19,229.52,273.71,514.9,541.66,547.79,241.81,236.35,222.58
383.32,1455.8,930.42,903.61,996.38,508.21,482.06,239.22,239.75,287.43,559.9,544.13,525.38,222.41,219.55,217.35
385.48,1441.79,935.29,931.88,999.97,531.51,498.68,233.12,252.18,284.01,528.12,504.17,532.53,203.41,223.16,222.87
387.64,1469.04,921.91,958.21,1007.95,576.07,529.53,244.22,265.13,271.12,569.55,500.1,551.89,214.46,218.49,208.8
389.8,1504.89,961.29,971.28,1047,590.54,566.29,253.85,266.61,256.75,557.53,511.26,563.14,235.23,247.56,224.47
391.96,1519.45,959.19,1008.53,1075.9,613.05,570.06,256.45,247.73,241.68,514.18,530.1,544.72,270.18,253.8,241.68
394.12,1486.93,961.52,1042.84,1091.86,612.81,583.41,252.25,219.71,242.47,500.7,504.49,484.17,276.52,261.11,270.96
396.28,1415.57,914.82,1042.11,1075.11,595.06,583.88,225.47,192.1,228.34,435.66,445.01,427.73,252.48,255.72,263.89
398.44,1374.79,888.21,1028.46,1052.1,579.57,588.27,241.55,187.36,221.74,454.17,421.07,410.17,232.16,230.39,256.56
400.6,1305.05,864.13,937.65,977.94,566.79,565.36,211.93,186.58,193.77,396.67,359.15,400.27,199.02,188.24,201.1
402.75,1240.13,803.37,863.13,930.41,551.16,528.58,204.07,200.88,191.21,367.27,331.33,376.81,192.84,143.39,161.94
404.91,1183.35,740.25,756.25,861.51,524.03,492.95,157.62,192.94,188.73,315.31,307.96,336.11,147.28,121.5,137.1
407.06,1108.71,645.44,661.33,803.9,448.39,443.46,126.26,164.4,178.67,243.11,271.7,290.18,105.67,88.23,125.9
409.21,1026.89,563.95,551.37,702.93,388.92,406.12,83.31,100.28,158.35,187.34,186.22,230.02,71.02,62.6,89.7
411.36,907.54,483.44,458.37,630.58,293.28,340.26,53.78,69.91,120.1,127.34,97.52,151.96,64,47.6,60.12
413.51,821,417.58,420.68,572.87,260.48,298.89,37.66,78.61,97.61,87.11,75.59,120.33,78.93,62.23,74.19
415.66,749.49,350.25,358.51,520.35,189.06,249.56,51.85,99.95,81.41,66.86,96.66,121.69,107.72,65.06,118.09
417.81,684.12,255.92,275.3,426.47,138.83,198.07,49.12,104.04,72.29,52.71,99.51,115.81,113.13,54.84,113.67
419.96,591.45,153.12,173.96,358.78,75.99,140.95,53.7,70.76,43.8,41.72,78.02,72.92,106.4,37.83,63.12
422.11,510.69,67.35,84.36,277.17,35.44,72.44,47.46,47,23.17,19.37,51.74,35.76,67.07,21.19,24.34
424.25,430.85,18.45,32.95,234.64,24.18,42.88,38.09,26.76,6.16,0,30.22,19.71,42.49,12.94,12.98
426.4,378.03,0,0.3,199.64,9.26,12.4,31.69,39.83,13.68,0,16.45,0,32.1,0,10.11
428.54,318.23,0,0,177.84,8.62,10.41,13.88,37.86,10.88,0,0,0,21.8,0,18.5
430.68,269.24,0,0,132.35,0,0,7.94,33.88,10.88,0,0,0,24.9,0,13.51
432.82,238.05,0,0,95.5,0,0,0,14.73,5.18,0,0,0,8.97,0,13.91
434.97,190.89,0,0,56.85,0,0,0,6,5.18,0,0,0,8.97,0,0.41
437.11,128.74,0,0,48.73,0,0,0,6,5.18,0,0,0,1.79,0,0.41
439.24,47.78,0,0,12.66,0,0,0,0,0,0,0,0,0,0,0
441.38,6.46,0,0,12.66,0,0,0,0,0,0,0,0,0,0,0
443.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
445.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
447.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
449.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
452.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
