wavenumber,PS5ppm-1,PS5ppm-2,PS5ppm-3,PS10ppm-1,PS10ppm-2,PS10ppm-3,PS50ppm-1,PS50ppm-2,PS50ppm-3,PS100ppm-1,PS100ppm-2,PS100ppm-3,PS200ppm-1,PS200ppm-2,PS200ppm-3
376.82,1330.89,1392.36,1404.48,2358.95,2320.43,2257.12,649.73,713.98,691.72,544.2,493.93,474.28,617.11,603,586.45
378.98,1348.65,1354.34,1375.38,2273.63,2280.33,2228.26,697.1,712.05,713.83,512.47,467.08,447.03,563.25,557.9,543.52
381.15,1334.74,1352.99,1336.31,2255.29,2265.86,2211.71,745.45,731.13,727.94,453.97,457.78,453.67,520.56,545.64,520.76
383.32,1298.62,1339.1,1316.37,2289.01,2259.12,2193.56,745.38,746.81,759.31,402.74,440.77,438.6,492.39,539.59,498.89
385.48,1287.61,1295.99,1271.23,2322.47,2245.79,2175.81,800.56,744.44,800.3,386.79,435.05,443.82,474.42,511.75,485.9
387.64,1286.94,1247.9,1266.45,2294.22,2256.4,2172.01,810.9,741.24,826.79,424.02,423.83,418.55,492.54,495.02,486.36
389.8,1273.94,1251.13,1270.02,2303.25,2234.63,2184.18,871.06,791.89,843.45,435.41,448.79,415.47,505.07,502.73,515.59
391.96,1233.49,1235.94,1282.84,2292.46,2212.36,2184.85,887.92,868.94,866.18,449.21,448.81,429.12,556.93,549.09,545.82
394.12,1232.49,1238.52,1257.78,2304.4,2172.16,2156.59,940.07,938.29,929.2,466.62,495.8,462.74,606.32,573.68,563.62
396.28,1201.05,1187.66,1199.3,2229.84,2134.12,2084.84,927.6,948.05,952.3,492.43,491.19,493.43,632.36,594.94,602.08
398.44,1179.49,1152.69,1163.39,2110.79,2029.92,2048.26,943.52,939.57,949.15,493.98,515.31,504.54,632.39,595.2,618.55
400.6,1115.04,1047.17,1101.27,1989.14,1900.78,1985.41,896.07,891.74,880.3,462.82,472.4,486.94,584.63,573.03,590.93
402.75,1056.92,963.32,1034.5,1923.43,1769.25,1858.18,853.46,839.77,871.66,424.17,456.35,456.2,545.31,536.97,544.09
