wavenumber,UD0,UD1,UD2,UD3,UD4,UD5,UD6,UD7,UD8,UD9,UD10,UD11,UD12,UD13,UD14,UD15,UD16,UD17,UD18,UD19,UD20,UD21,UD22,UD23,UD24,UD25,UD26,UD27,UD28,UD29,UD30,UD31,UD32,UD33,UD34,UD35,UD36,UD37,UD38,UD39
498.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.21052517,0,0,0
502.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,429.0039205,0,0,0
505.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.316535489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,697.0685827,0,0,0
507.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.35463018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,877.5121484,0,0,0
509.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.47496622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,970.1013495,0,0,0
511.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.78345156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,975.7179879,0,0,0
513.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.21081146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,894.3088255,0,0,0
515.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.80081984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,726.1071301,0,0,0
517.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.5534767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,471.1129019,0,0,0
