WP-00790,,PS0.1ppm-1,PS0.1ppm-2,PS0.1ppm-3,PS0.5ppm-1,PS0.5ppm-2,PS0.5ppm-3,PS1.0ppm-1,PS1.0ppm-2,PS1.0ppm-3,PS5ppm-1,PS5ppm-2,PS5ppm-3,PS10ppm-1,PS10ppm-2,PS10ppm-3,PS50ppm-1,PS50ppm-2,PS50ppm-3,PS100ppm-1,PS100ppm-2,PS100ppm-3,PS200ppm-1,PS200ppm-2,PS200ppm-3
Wavelength,Wavenumber,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed
804.71,311.35,5212.46,5238.49,5179.58,9639.89,9720.25,9737.53,332.76,323.77,329.77,4231.83,4155.79,4254.57,2035.36,2015.93,1948.8,2533.55,2562.13,2549.23,2537.18,2459.87,2401.27,991.7,1013.78,1071.41
804.86,313.55,4474.87,4488.54,4467.68,8339.36,8340.62,8316.32,342.78,309.58,317.61,3610.14,3602.91,3616.72,1812.37,1789.52,1772.35,2306.71,2383.51,2345.24,2293.09,2221.06,2268.39,973.09,970.05,1009.22
805,315.75,3821.48,3822.77,3802.3,7131.87,7143.7,7065.49,325.77,288.37,311.42,3058.65,3085.24,3078.39,1591.27,1602.99,1585.46,2033.87,2155.24,2129.61,2065.01,1999.59,2094.2,924.37,884.88,900.58
805.14,317.94,3314.66,3266.57,3259.14,6151.4,6111.79,6019.02,286.49,276.88,286.98,2569.86,2610.28,2648.43,1374.43,1416.72,1372.84,1820.99,1943.94,1907.94,1870.24,1793.75,1867.29,818.76,793.81,788.04
805.28,320.14,2878.09,2799.92,2796.53,5300.94,5264.23,5214.9,248.61,281.47,288.95,2226.89,2260.48,2265.28,1213.21,1232.74,1212.82,1609.06,1702.95,1684.59,1664.76,1613.89,1667.68,737.93,680.18,677.6
805.43,322.33,2505.65,2414.72,2438.03,4644.39,4528.58,4547.7,248.02,269.35,271.21,1930.95,1965.05,1931.82,1082.82,1056.91,1058.63,1461.66,1475.83,1474.1,1497.14,1458.22,1506.59,648.11,632.9,604.84
805.57,324.52,2152.01,2093.98,2129.99,4031.41,3960.52,3972.43,241.05,225.19,247.43,1685.5,1711.12,1652.83,963.92,905.25,926.94,1286.11,1271.25,1301.15,1358.39,1302.08,1337.35,594.32,530.3,529.09
805.71,326.71,1890.18,1827.02,1854.72,3476.02,3490.37,3443.41,229.71,198.98,225.62,1431.42,1490.9,1430.88,860.86,817.75,811.42,1129.76,1126.55,1168.08,1232.84,1169.47,1196.32,488.87,511.71,508.02
805.85,328.9,1656.27,1557.64,1592.02,3000,3061.58,3012.76,161.43,169.85,182.55,1229.83,1296.51,1228.41,759.08,702.19,719.84,974.38,1012.17,1032,1070.61,1018.52,1010.26,395.91,391.26,467.75
