,PS0ppm-1,PS0ppm-2,PS0ppm-3,PS0.05ppm-1,PS0.05ppm-2,PS0.05ppm-3,PMMA0ppm-1,PMMA0ppm-2,PMMA0ppm-3,PMMA0.05ppm-1,PMMA0.05ppm-2,PMMA0.05ppm-3,PMMA0.1ppm-1,PMMA0.1ppm-2,PMMA0.1ppm-3,PE0ppm-1,PE0ppm-2,PE0ppm-3,PE0.01ppm-1,PE0.01ppm-2,PE0.01ppm-3,PLA0ppm-1,PLA0ppm-2,PLA0ppm-3,PLA0.05ppm-1,PLA0.05ppm-2,PLA0.05ppm-3,PLA0.1ppm-1,PLA0.1ppm-2,PLA0.1ppm-3,PLA0.5ppm-1,PLA0.5ppm-2,PLA0.5ppm-3,PLA1ppm-1,PLA1ppm-2,PLA1ppm-3,PLA5ppm-1,PLA5ppm-2,PLA5ppm-3,PLA10ppm-1,PLA10ppm-2,PLA10ppm-3
PS0ppm-1,1.0,0.9801068428156962,0.9844788604217877,0.9466312536588777,0.9491677622236422,0.9519298221486772,0.4809513387493365,0.47883881708656,0.4655227458984061,0.4686414880926119,0.4380017483793232,0.4745459768506187,0.3643143076889221,0.3963565059186513,0.3749297703265826,0.5110848719828255,0.4727086917690498,0.4315896403920872,0.25835453115876084,0.26666303846219663,0.25206771717895243,0.40879522433093035,0.4041003186910429,0.38269636899359205,0.318098137670171,0.3465975955121564,0.3287957157227577,0.26040971266579166,0.30084853876848533,0.23940165322138074,0.1564362168742316,0.1449882221420394,0.21040164742379905,0.16030631332750298,0.13939332323201994,0.16459688079885063,0.1976812583892175,0.20062894961101943,0.20100392879129414,0.4488958072047459,0.45664893302950177,0.47865604190507793
PS0ppm-2,0.9801068428156962,1.0,0.9811618359141973,0.9397863099136412,0.9455290595788738,0.9462217571811857,0.4715381382110092,0.4714034153251089,0.468924953246942,0.45704237733231395,0.4261248215202222,0.4621010535134418,0.35869431816968383,0.38634800198372315,0.371128416385013,0.5023022349109921,0.47109191398594,0.41832363164926917,0.25297524917836384,0.2622647861590148,0.24776739570484027,0.4099983122020591,0.39907779110173897,0.3734778886883361,0.3161242700841473,0.3410442133468505,0.3207911093686705,0.26169763792376144,0.292482268271281,0.2375441608874511,0.15298727292212505,0.13104297340348176,0.1999264092207556,0.1602423048455237,0.1332780816035018,0.15669438250952233,0.19166142179476459,0.19436251131703064,0.19489554623087635,0.4369034795533261,0.43502306217927733,0.4573105557080857
PS0ppm-3,0.9844788604217877,0.9811618359141973,1.0,0.9426542810426631,0.9443511883832936,0.9490505760500445,0.4828814246315676,0.4839096591006198,0.46666860863344006,0.47804448577586245,0.43448554836815534,0.48022757638309416,0.37190581611139245,0.40122393956685,0.37967241470608415,0.5075220276549562,0.4771852360821596,0.42801682234928623,0.25449984705852474,0.25976416045641193,0.24834292199310978,0.41887750431721454,0.40824878269802195,0.387878490910133,0.32952842267824245,0.3556122310916797,0.3333333079926761,0.26648912452662865,0.3047904929591258,0.24658886129203386,0.16652193064932153,0.14963497843629772,0.21061426209141107,0.16577524274041777,0.15060824163346453,0.16953731311536036,0.20452884794272888,0.20450962090182986,0.20652514506856962,0.4455375504904478,0.4543435676847812,0.47886504906465815
PS0.05ppm-1,0.9466312536588777,0.9397863099136412,0.9426542810426631,1.0,0.9802819219320295,0.9771886644288917,0.4106229359919541,0.40520633104792403,0.3963348544674785,0.39166036632919915,0.3674922784150164,0.4139613034708107,0.3005390273077509,0.3336531358182781,0.31629247165282004,0.41373456073009784,0.3904129297475609,0.34385289672855934,0.18490340164375618,0.19399990195724884,0.18237603752654746,0.341156724259345,0.32910160817439355,0.3127047803244637,0.2677403862698046,0.28023918270779874,0.2633327609548175,0.2018059219643315,0.2379778606598392,0.18067610519456762,0.10334485502735552,0.09381334860383633,0.14946469987321861,0.11114250336070777,0.08895054862165892,0.10574106108031307,0.13934053088761045,0.1429634896579075,0.14052156262133084,0.437792965865479,0.44381912174993016,0.4747275827799574
PS0.05ppm-2,0.9491677622236422,0.9455290595788738,0.9443511883832936,0.9802819219320295,1.0,0.9788154948502036,0.4108036240043263,0.40061021136167063,0.3968417681043263,0.3844893362868246,0.3637827951038188,0.40583994505715476,0.29929606344070564,0.3362841128376041,0.31635911537919253,0.42009451497097333,0.3940647740078434,0.342054737896501,0.17959147957742835,0.1896589146453104,0.17815518401947306,0.34430803258548504,0.3295161824243276,0.3115037791086324,0.2637668260565646,0.2832050495171474,0.26474337635258466,0.20972376078677,0.24624024486730045,0.18896138564707116,0.11277830918804811,0.09533387833289785,0.16011816084081923,0.11557262378766302,0.10621935330029357,0.1163265603144615,0.1409364313198926,0.14400094417282414,0.14099966421393242,0.41989168856957104,0.4323708289180158,0.452221884673611
PS0.05ppm-3,0.9519298221486772,0.9462217571811857,0.9490505760500445,0.9771886644288917,0.9788154948502036,1.0,0.40969007901184257,0.39505624170398385,0.3990855618174294,0.38177144404914654,0.36098152454558835,0.411433849304736,0.29723056744745324,0.3303239307351379,0.3158807673471533,0.42736785902902846,0.3990139362659563,0.3484133426486402,0.1825776974808586,0.19399941934081943,0.18608278833983224,0.337968688189399,0.3262635391727371,0.3079481797244397,0.26261446698779123,0.2790899001180158,0.2569139956225313,0.2045783201066638,0.24110218690289664,0.18562415798336251,0.10612501744309911,0.08989389216966763,0.1559576112190006,0.11276688145570739,0.09980619988599357,0.11672441796066535,0.1389834524669419,0.14446139363479843,0.1407184833261187,0.4265500782923249,0.4339116871425899,0.4529153922709329
PMMA0ppm-1,0.4809513387493365,0.4715381382110092,0.4828814246315676,0.4106229359919541,0.4108036240043263,0.40969007901184257,1.0,0.8488198735090897,0.8462138006845632,0.7771094275047361,0.7600721726369086,0.7699945845897075,0.7132750037455559,0.681574258897963,0.6911190583902548,0.682438095486684,0.6947479888192102,0.7060420751278895,0.7149022668458275,0.7127088626259787,0.7073100315896795,0.3036196218317597,0.3012077580480202,0.2982385859945463,0.3495714044782224,0.41406317319107344,0.3863913928757723,0.18667630868591253,0.2057201296821505,0.19022402776521638,0.19894666169208497,0.21688941879025955,0.23297603701843783,0.2377193286725394,0.21747110421482974,0.2707769704097903,0.18936280466771774,0.18902209901358105,0.19273922872775565,0.5027472504406603,0.4930802656273156,0.4874319701100445
PMMA0ppm-2,0.47883881708656,0.4714034153251089,0.4839096591006198,0.40520633104792403,0.40061021136167063,0.39505624170398385,0.8488198735090897,1.0,0.8246677472362169,0.7761559968395567,0.7710732408427803,0.7668747205532156,0.6989716590591506,0.6892063888707483,0.6628761889593685,0.6725918705207833,0.7086403359440963,0.7139954418072585,0.7145654756659302,0.7081817724457588,0.7202983434101943,0.29340983196503545,0.3137762183697192,0.28147093835458176,0.35172795307056304,0.3994052969449107,0.3914650187509643,0.1968991858945293,0.20370468178594844,0.18845538306684986,0.20077779722605776,0.1921067195823511,0.21724436074921483,0.23651448627736518,0.21665317703329945,0.23419139911113712,0.18931002513789413,0.18801080769910064,0.190218538982485,0.484888758131631,0.4683284452753188,0.4689530698899221
PMMA0ppm-3,0.4655227458984061,0.468924953246942,0.46666860863344006,0.3963348544674785,0.3968417681043263,0.3990855618174294,0.8462138006845632,0.8246677472362169,1.0,0.7725167360000704,0.7563988223850667,0.7629277715766969,0.6907929612173563,0.6696044420407202,0.704986083849923,0.6510964079268373,0.6912793420157914,0.6829487202663872,0.7048777588362181,0.7044791951679955,0.716651773301361,0.26073826456033766,0.2826250332506249,0.2581935600318266,0.33283141401418154,0.38308666795390484,0.3675194908829962,0.17550182767692415,0.1736545529000007,0.17371750686625503,0.19610777638337687,0.18057193960289122,0.21210804356743107,0.22592901566904947,0.19009850610948947,0.23777864850927283,0.18099937831619736,0.1789330953141904,0.18418306315503685,0.4463941282987254,0.420938991667947,0.41740144525314643
PMMA0.05ppm-1,0.4686414880926119,0.45704237733231395,0.47804448577586245,0.39166036632919915,0.3844893362868246,0.38177144404914654,0.7771094275047361,0.7761559968395567,0.7725167360000704,1.0,0.8459514967358562,0.8709928862651166,0.7671036435858112,0.7486200841213639,0.7595235020632848,0.7062106928160605,0.7301349128048235,0.717907930315252,0.6880154183702443,0.6421484150490349,0.6598680268585512,0.3254771890980752,0.3282609952351996,0.309889268122103,0.35096980814805706,0.43760745059015516,0.3985630182029167,0.18918208470688913,0.21751926552772705,0.19386186385011073,0.2213539293492451,0.20401338158068333,0.24394492463555706,0.20551102676255617,0.24830570203286978,0.24148418041253172,0.20792439888780287,0.2027298695987508,0.21872934225824006,0.5616407509770518,0.565915533222326,0.5609270344706618
